frame,time_fs,epsilon_d_eV,epsilon_a_eV,gap_eV,coupling_real_eV,coupling_imag_eV,coupling_abs_eV,donor_c60_population,acceptor_c60_population,donor_transport_overlap,acceptor_transport_overlap,donor_residual_eV,acceptor_residual_eV,donor_back_residual_eV
0,0.0,-3.5653053029017183,-3.0249008728313984,0.5404044300703198,0.029012718584342855,0.0,0.029012718584342855,0.0016524421461827257,0.99098662559308,1.0,1.0,0.020057990794993447,0.4698983932177714,0.09703968693526065
1,0.5,-3.5548632635179613,-3.0104487798635544,0.5444144836544066,0.028325730271982333,0.0,0.028325730271982333,0.001654834632654374,0.9910303667587274,0.9999999290854057,0.9999444265042119,0.01973047952887916,0.4747425674720419,0.0966650025799969
2,1.0,-3.5429763108947143,-2.9962061583363893,0.5467701525583252,0.02765125347160329,0.0,0.02765125347160329,0.001657440961739345,0.991068267390673,0.9999999297902056,0.9999206435424347,0.020745340371741135,0.48000222164501727,0.09631971422270012
3,1.5,-3.530059898585515,-2.9823653086667883,0.5476945899187265,0.026998293187183612,0.0,0.026998293187183612,0.0016600912464907038,0.9911030912787514,0.9999999330098873,0.9998869820320896,0.023227925754379375,0.48564965726040793,0.09598753478934491
4,2.0,-3.5167265674299175,-2.9696248984213214,0.547101669008596,0.02637743251782701,0.0,0.02637743251782701,0.0016631841046225403,0.991137807552453,0.9999999370890449,0.9998398759472861,0.027058762949956624,0.4916910733807973,0.09559221753928916
5,2.5,-3.503169647037315,-2.9584299091883106,0.544739737849004,0.025800494755154328,0.0,0.025800494755154328,0.0016671036155936445,0.9911761361579187,0.9999999418692999,0.9997724482594479,0.03187913707149785,0.49810007308550897,0.09507775479618315
6,3.0,-3.4896210427165397,-2.949197107205952,0.5404239355105879,0.025277593071992756,0.0,0.025277593071992756,0.0016721464560216473,0.9912223107536521,0.999999947326042,0.999690335589335,0.03731623272189475,0.5047650089101262,0.09440642907629156
7,3.5,-3.4756222482826584,-2.942387780149154,0.5332344681335047,0.024809758174526037,0.0,0.024809758174526037,0.0016786772979032563,0.9912827492586815,0.9999999531866471,0.9996138908304185,0.043005940442531525,0.5113983462119658,0.09362300199426006
8,4.0,-3.4625817492369846,-2.9386388305505746,0.5239429186864096,0.024412684277730815,0.0,0.024412684277730815,0.0016869322868453373,0.9913558729586324,0.9999999583361284,0.9994972372112277,0.04888173651225277,0.518131755090863,0.09255773971953085
9,4.5,-3.450246718891618,-2.9382737971936628,0.5119729216979555,0.024086191264676825,0.0,0.024086191264676825,0.0016976343729104193,0.9914433740294673,0.9999999637696675,0.9993833571827205,0.054721262069804426,0.5246920213195163,0.0912155300985354
10,5.0,-3.4387530090102367,-2.941611203964766,0.4971418050454708,0.023828180791441913,0.0,0.023828180791441913,0.0017111992406447262,0.9915437391415538,0.9999999692117929,0.9992768221222225,0.06040472184434252,0.530847414389647,0.089583971630574
