frame,time_fs,epsilon_d_eV,epsilon_a_eV,gap_eV,coupling_real_eV,coupling_imag_eV,coupling_abs_eV,donor_c60_population,acceptor_c60_population,donor_transport_overlap,acceptor_transport_overlap,donor_residual_eV,acceptor_residual_eV,donor_back_residual_eV
0,0.0,-3.5630518101716473,-2.9468570872538717,0.6161947229177758,0.03221398285116145,0.0,0.03221398285116145,0.0018993369643540683,0.9911972688345307,1.0,1.0,0.019478101834973376,0.4452721880858461,0.11527926110260808
1,0.5,-3.567867288610297,-2.9414671584641883,0.6264001301461086,0.03185312553971932,0.0,0.03185312553971932,0.0018625936248943757,0.9911533922905937,0.9999999956447474,0.9997592928736669,0.024672168064918037,0.442698252686464,0.11611644095947425
2,1.0,-3.5714638000667254,-2.937986597805819,0.6334772022609064,0.031484888430458505,0.0,0.031484888430458505,0.001827540554498646,0.9910916706279581,0.9999999954099901,0.9997523157128598,0.029689086036118036,0.4404228529950816,0.11687350585161131
3,1.5,-3.5738229667611723,-2.936574864267557,0.6372481024936155,0.03110351701323455,0.0,0.03110351701323455,0.0017950541064693103,0.9910160638569946,0.9999999942089431,0.999730424903203,0.03437525767417119,0.4386321195128266,0.11748879022309652
4,2.0,-3.574805896053342,-2.9369971582956347,0.6378087377577073,0.030705496724326813,0.0,0.030705496724326813,0.0017655531079451372,0.9909318544305195,0.9999999924064502,0.9996997314387698,0.038588725776714086,0.4373446469626164,0.1179486692683776
5,2.5,-3.5744056927992487,-2.9391922354369537,0.635213457362295,0.03029320353857207,0.0,0.03029320353857207,0.0017392862354698262,0.9908449220789409,0.9999999899693477,0.9996566813714852,0.042325803599258666,0.43658593708998583,0.11822873804685007
6,3.0,-3.574419156825901,-2.944707231554351,0.6297119252715501,0.02987256080755772,0.0,0.02987256080755772,0.0017162710942062026,0.9907651480277423,0.9999999881922935,0.9996234738213969,0.045916913218249374,0.4364996016538157,0.11825907658541508
7,3.5,-3.5715674522822467,-2.9500029508127525,0.621564501469494,0.02942010253743624,0.0,0.02942010253743624,0.0016976179832922504,0.9906940535218763,0.9999999846243144,0.9995497460541514,0.048852765261536445,0.4366183853271437,0.11808882069442517
8,4.0,-3.5679895345186177,-2.957659734221723,0.6103298002968947,0.028980957154307936,0.0,0.028980957154307936,0.0016810781469027794,0.9906397885443079,0.9999999847038805,0.9995217005501965,0.05165513848590879,0.43715281914548026,0.11777096228110089
9,4.5,-3.5632403569805158,-2.9661189117954923,0.5971214451850235,0.028505452344906472,0.0,0.028505452344906472,0.0016696483467484114,0.9906083306730077,0.9999999820279507,0.9994331629582498,0.05426903726081982,0.4379822441597957,0.11712800769857688
10,5.0,-3.557916210657084,-2.975873885323729,0.582042325333355,0.028017661306716138,0.0,0.028017661306716138,0.0016623369757104345,0.9906078844972066,0.9999999809386859,0.9993466453335004,0.057027315907498585,0.43923196521633895,0.1161362037230925
11,5.5,-3.5520199699546877,-2.9865916856568866,0.565428284297801,0.02752015876763755,0.0,0.02752015876763755,0.0016592802140069315,0.9906457964260457,0.9999999804188494,0.9992447149785711,0.06002041400320905,0.4408257739304277,0.11475977814150319
12,6.0,-3.5457564576410388,-2.9980100313824476,0.5477464262585913,0.02701608566486028,0.0,0.02701608566486028,0.001660520736609704,0.9907303868902869,0.9999999804707715,0.9991341695804934,0.06335338035567055,0.4427129608248656,0.11295444625819002
13,6.5,-3.539225504455334,-3.009805691980164,0.5294198124751699,0.02651181443126029,0.0,0.02651181443126029,0.0016661175863870675,0.9908703979083784,0.9999999809273195,0.9990055775427333,0.067091559973177,0.44487949191693466,0.11066758106406009
14,7.0,-3.5324678886817,-3.0215785403065376,0.5108893483751621,0.026015871277015892,0.0,0.026015871277015892,0.0016761196679693905,0.9910744728950285,0.9999999817319845,0.9988561043891792,0.07124767443925337,0.447330580736477,0.10784483809939226
15,7.5,-3.5254949118308962,-3.032854613370341,0.4926402984605552,0.025538322521023393,0.0,0.025538322521023393,0.0016905726761385128,0.9913499932248364,0.9999999828367673,0.9986845838993397,0.07577443136566964,0.4500868002215676,0.10443419537111966
16,8.0,-3.519126112486461,-3.042545520807527,0.4765805916789343,0.02505692011616112,0.0,0.02505692011616112,0.0017094741019890542,0.991703125226632,0.9999999823920672,0.9985328734959978,0.08046616798763276,0.45288740293216434,0.1003986226328823
17,8.5,-3.511333269725896,-3.051766421843813,0.4595668478820833,0.024669451106589937,0.0,0.024669451106589937,0.0017327743428107955,0.9921256011072025,0.9999999860553084,0.9982905622570394,0.08542067654274678,0.4564390040535909,0.09574588225956432
18,9.0,-3.5041661952839336,-3.0587306973545947,0.4454354979293387,0.024320788027255073,0.0,0.024320788027255073,0.0017597949500871705,0.9926100726930984,0.9999999835779946,0.9981650026244037,0.08997889636196078,0.46018111217400465,0.09051488500571976
19,9.5,-3.4967537606287786,-3.0634524258256324,0.43330133480314637,0.024030782461317762,0.0,0.024030782461317762,0.0017915930905419814,0.9931457336235261,0.9999999874471571,0.9979622470987697,0.0946273881592023,0.46402579626444534,0.08468255228269086
20,10.0,-3.490597206126682,-3.0664640460647496,0.42413316006193236,0.02381979001135994,0.0,0.02381979001135994,0.001826327075700894,0.9936979341540341,0.9999999850411335,0.9979045560602469,0.09867604094579716,0.4679691140359341,0.07842615118365452
21,10.5,-3.484061342759575,-3.0671455494931488,0.41691579326642625,0.023721641648493063,0.0,0.023721641648493063,0.0018647244382636074,0.9942366259003454,0.9999999857108871,0.9978359401423138,0.10214879802802414,0.4718491228830967,0.07183565148096019
22,11.0,-3.4782052663663485,-3.0663094514085993,0.41189581495774935,0.023737856375094547,0.0,0.023737856375094547,0.001906473938340529,0.9947290006240501,0.9999999857655194,0.9978423376371661,0.10499382570524313,0.4753433996693224,0.06505997823500513
23,11.5,-3.4725336864616048,-3.0638891774435772,0.40864450901802774,0.023855128935404788,0.0,0.023855128935404788,0.0019515830035079027,0.9951445798668743,0.9999999864938645,0.9979233894594852,0.10720472133317847,0.4781213849041539,0.058291180104347896
24,12.0,-3.467351739284419,-3.060460949794775,0.4068907894896438,0.02405228835301036,0.0,0.02405228835301036,0.001999848764330297,0.9954602641866702,0.9999999870831392,0.9980808866650814,0.10874216281138106,0.4798814579338167,0.051731880963465066
25,12.5,-3.461966957676427,-3.0567314290066236,0.40523552866980317,0.024324507400044305,0.0,0.024324507400044305,0.002052004652690688,0.9956639006522299,0.9999999869483897,0.9983217265252331,0.10940957160238948,0.48061817272436125,0.0455853398700178
26,13.0,-3.4591972075712727,-3.053237235092547,0.4059599724787259,0.024679425560772225,0.0,0.024679425560772225,0.0021055537507128257,0.9957469931832879,0.9999999896487011,0.9984345602533246,0.10969469952455654,0.4803307363738277,0.039769618070615985
27,13.5,-3.456208096410566,-3.050136556030608,0.4060715403799579,0.025086865609119192,0.0,0.025086865609119192,0.0021632794906035553,0.9957207708562604,0.9999999893858521,0.9987154119425443,0.10904914908650469,0.47910805706815845,0.03460381031131097
28,14.0,-3.4542822306344774,-3.0476779579690754,0.4066042726654016,0.02554408308587346,0.0,0.02554408308587346,0.0022235964280834498,0.9955924932400766,0.9999999918312035,0.9988811920486569,0.1078271085946062,0.4772416543606992,0.029990180178906048
29,14.5,-3.4536039509378904,-3.0461807322286893,0.40742321870920123,0.026043299630624128,0.0,0.026043299630624128,0.0022866559890299086,0.9953779039891407,0.9999999922248815,0.999049680832005,0.10599559050443416,0.4750107877741048,0.02599030846493917
30,15.0,-3.454258692479579,-3.045589006755629,0.4086696857239498,0.02656138220941663,0.0,0.02656138220941663,0.0023521647599871937,0.9950950782080891,0.9999999909390661,0.9992009344415763,0.10358294857715933,0.4726549419113891,0.022642213698924232
31,15.5,-3.456018221094811,-3.045739212629821,0.4102790084649901,0.027081638954900462,0.0,0.027081638954900462,0.002419845970484011,0.9947636924164466,0.9999999886421349,0.999332304680155,0.10059948362815714,0.4704333181200677,0.019952509472490554
32,16.0,-3.4588199327554627,-3.04662485394926,0.41219507880620254,0.027587980741228566,0.0,0.027587980741228566,0.0024891196514732817,0.9944038396225662,0.9999999840115712,0.999449471426961,0.09704185885546855,0.46858921818580856,0.017920713499939372
33,16.5,-3.4626919843830457,-3.048174644125421,0.4145173402576248,0.028061769726765808,0.0,0.028061769726765808,0.0025591690849839695,0.9940318990667014,0.9999999777997541,0.9995414670526064,0.09295448354064935,0.4673247412985179,0.016499489439900494
34,17.0,-3.4675409242198567,-3.05035185989638,0.4171890643234768,0.02848954221191771,0.0,0.02848954221191771,0.0026291413319178697,0.9936612615215417,0.9999999707896386,0.9996107858406816,0.08838695516335435,0.46681364385742613,0.015608011481126498
35,17.5,-3.4731442934273558,-3.0531399282171163,0.4200043652102397,0.028858901728905553,0.0,0.028858901728905553,0.002698126661096418,0.9933026838900186,0.9999999630717398,0.9996610954955802,0.08338960123379127,0.46716568002921505,0.015141412725408587
36,18.0,-3.479130844328265,-3.05650391632244,0.422626928005825,0.02916166337200513,0.0,0.02916166337200513,0.0027652053072379436,0.9929635994518069,0.9999999553919697,0.9996942459617187,0.07802840896118882,0.4684293982384167,0.01498466187531762
