frame,s1_eV,s2_eV,s3_eV,s4_eV,frac1,frac12,frac123,donor_span_eV,acceptor_low_span_eV,acceptor_high_span_eV,acceptor_middle_gap_eV,low_acceptor_coupling_norm_eV,high_acceptor_coupling_norm_eV
0,0.13940748239246548,0.03612479106886751,0.005438296503534689,0.0036746681802973876,0.9351340229695737,0.9979271885761298,0.9993502624787144,0.40847336152361985,0.20010020200365647,0.150376131931998,0.8003647969520045,0.08998032757016552,0.11263243574670773
1,0.1407480102175305,0.03530958216805036,0.005565610827055103,0.0036266151030329235,0.9388227460932492,0.9979086974224292,0.9993766929956901,0.40984440272979433,0.20865950519433493,0.1599051278212504,0.7900131985147859,0.09159862516372266,0.11274124889398726
2,0.1418750516358007,0.03447997242020206,0.005691075575069517,0.0035829632055725,0.9422311406216809,0.9978829396162063,0.9993990614220886,0.41142460427113275,0.21562804431938476,0.16970187410019452,0.7802842584015695,0.09310339415946045,0.11266935136620247
3,0.14288773960111117,0.03363233508323863,0.005827684266027694,0.003541294413146559,0.9454660074916535,0.9978465545421034,0.9994192622525472,0.4134906637995896,0.2205343643850587,0.17956393427954842,0.7714085934754368,0.09435163836579051,0.11266015754996253
4,0.14363782967220554,0.032817493316851486,0.005965436562946688,0.003507480848782241,0.9482974634814617,0.9977988918793229,0.9994345456663447,0.4157436839307658,0.22357464041248207,0.18898095252762814,0.7634332281745612,0.09547185245173719,0.11243588495346121
5,0.14420463693206045,0.032062454109320425,0.00611001145986218,0.003479263831286644,0.9507398501128921,0.997739732212707,0.9994465505355133,0.41847351871736505,0.2245372541520474,0.1977154928630752,0.7565590625671927,0.0963656197984952,0.11218771373871052
6,0.1445551540697678,0.03140300498501064,0.006254630149840811,0.00345714316932697,0.9527104635128456,0.9976714870605683,0.9994550853254885,0.421626076228943,0.2233690688885739,0.20541677235780054,0.7509640143181742,0.09706238424200064,0.11185842432595615
7,0.14469060789909097,0.030805689817315428,0.006406343421404067,0.003440001847331975,0.9543303764215988,0.9975897216314318,0.9994605696013444,0.4252116997652869,0.2203940744666905,0.21162947764433876,0.7468450911529003,0.09755877042355791,0.11144291678485119
8,0.14464071661546374,0.030294083923224,0.006560971444923432,0.0034279647976596397,0.9555790379438817,0.9974970938966866,0.9994632671314732,0.42914480993174864,0.21579147306288238,0.21623309120495315,0.7442917086485407,0.09786477271864658,0.11097725881217725
9,0.1444450959188327,0.029873098446311645,0.006714372871258372,0.0034209139331218535,0.9564863831693251,0.9973967834307138,0.9994635151229004,0.4332462969980544,0.20989508681334912,0.2190926249051456,0.7434221853251675,0.09798488472060732,0.11051034144941017
10,0.14414582284387398,0.029525657245155785,0.006867060571772374,0.0034186594327516168,0.9571318714302943,0.9972893838586695,0.9994616318838235,0.43733798533727825,0.203220538292826,0.220109656660538,0.7443078733473102,0.0979297084096406,0.11008359842915846
11,0.14372871842297807,0.0292569887111374,0.007014729603643065,0.0034192250684973915,0.9575028111668911,0.9971773785340639,0.9994581135029186,0.4412894352172676,0.19617084229202889,0.2192612351179125,0.7469522202916411,0.09773291037520353,0.10964985932060763
12,0.1432290630365009,0.02908796172769142,0.007149206956585108,0.0034165143174973056,0.9575748575025367,0.9970693932354808,0.9994551500406673,0.4443765701366562,0.18931279071152482,0.2161542592822558,0.7518628203243892,0.09735680930454567,0.10929368430066615
13,0.14275745589867256,0.029043770139424534,0.00725271931121358,0.0034198894124654496,0.9573535214573292,0.9969795658362102,0.9994505870838766,0.4469391762562443,0.18320426255284625,0.21186945994711112,0.7580606440558444,0.09692195128781353,0.10905807965545974
14,0.14229177050544245,0.02905243425970601,0.00734977541435938,0.003418424788796477,0.9569994893212198,0.9968943721433403,0.9994476629223762,0.44790982095483073,0.17734821829722527,0.20564718786789019,0.766175400625207,0.09628317186600104,0.10902406859078566
15,0.14189236989224593,0.029139763686786044,0.007421284353129678,0.0034190611002551507,0.9564883532544766,0.9968281450507824,0.9994446390678586,0.4477086406919518,0.17120699910864542,0.19822731240961539,0.7754738491157194,0.0955701573932359,0.10915897085191434
16,0.1415741404360489,0.02927810139766916,0.007474612219984139,0.0034200407199439726,0.9558959727163583,0.9967776387341531,0.9994421655662088,0.44603352876434393,0.16411051966553955,0.18972917358522373,0.785727655708322,0.0947610123236551,0.10949137642490205
