frame,s1_eV,s2_eV,s3_eV,s4_eV,frac1,frac12,frac123,donor_span_eV,acceptor_low_span_eV,acceptor_high_span_eV,acceptor_middle_gap_eV,low_acceptor_coupling_norm_eV,high_acceptor_coupling_norm_eV
0,0.12783039752733494,0.0257351476460798,0.004697078300126834,0.0033217895619967477,0.9591808850025774,0.99805724228839,0.9993522961649055,0.42375983704175313,0.1485185864176601,0.15031099357550093,0.8476423161306343,0.07226418825410592,0.10869173051704009
1,0.1277878764466819,0.026710180605177547,0.004625433834287999,0.003314170171577943,0.9563228148911088,0.998103817710767,0.9993567573700554,0.4254871078300649,0.140946893996517,0.1378044390133177,0.856193705982051,0.07166153957143723,0.10927111797289592
2,0.1278988672133856,0.027648009499135952,0.004547911731438089,0.003309057507298956,0.953594608403513,0.998155937009423,0.9993616791647151,0.4287837137143079,0.13314184714100977,0.12609468046144437,0.863575899868025,0.0711296707851734,0.10997606994445645
3,0.12813520411155982,0.028528377265567232,0.0044814943585052254,0.00330473873422872,0.9510601438429912,0.9982040094578062,0.9993673765103196,0.4336254136100844,0.1254394616337503,0.1153530113201557,0.869631301576431,0.07066271238398356,0.11077131853707829
4,0.12844119008464355,0.029394767326149387,0.004399631336763107,0.003300056296090703,0.9485781777618479,0.998260803615359,0.999373808475961,0.43896659427347107,0.11680173834507412,0.10792243275531647,0.8738668051514019,0.07036976020526534,0.11153266621321416
5,0.12894425514265784,0.030187929135120375,0.004322813062037798,0.0032973886307382533,0.9464425213549338,0.9983173758998068,0.9993810856950278,0.4451556187020406,0.10744209284755249,0.1026770075333421,0.8772047555784223,0.0701584859298972,0.11245122647769458
6,0.12942026630544495,0.030945339954854885,0.004253582414784351,0.0032878314019756214,0.9443780972634265,0.9983703992129315,0.9993905186709097,0.4505092007381787,0.09744293378733561,0.10050439668794893,0.8785987250805071,0.07005572492107866,0.11326216314358103
7,0.1300625212401574,0.031609628696445395,0.004187918688921799,0.0032770869588809744,0.9427405583278868,0.9984240734968421,0.9994015005080686,0.4555097807717068,0.0884201546937061,0.10044934519534231,0.8790150025450834,0.07012940688048055,0.114129629413867
8,0.13069316252584473,0.032202811680438544,0.00413500651348111,0.0032593423132310966,0.9413217671046336,0.9984722562292236,0.9994145466215196,0.4588839718947044,0.09340241733917436,0.10181259860043256,0.8780116971823148,0.07032500063826404,0.11489055525822027
9,0.13132915996036187,0.032709918371432035,0.0040937300945515,0.0032367838341759822,0.9401906394217181,0.9985153390715018,0.9994288883976259,0.4604734937209457,0.1039665604073374,0.10345794776850563,0.8761749445282766,0.07067009015328823,0.11554332853593242
10,0.13195926257986917,0.0331194718768075,0.004065097931371624,0.003211990201140281,0.9393784307655619,0.9985519814864706,0.9994434435149279,0.46011148220308395,0.1153217485352234,0.10443763837697707,0.8738390847739597,0.07118028277285925,0.11606186128371868
11,0.1325686877159374,0.033423583060191914,0.0040496055658706676,0.003188245154477321,0.938898893084652,0.9985808318473312,0.9994569493608927,0.4577549011902938,0.12744794081394226,0.10405191447730876,0.8709808355917402,0.07186591588809012,0.11641927337549154
12,0.13314367556539686,0.03361884706678851,0.004047118982583346,0.0031689743396418786,0.9387494501905278,0.9986008404564114,0.9994682027870563,0.4534956813837337,0.1410272920396057,0.1018397643334552,0.867015608869475,0.0727328690918765,0.11659252353925711
13,0.1336726115634648,0.03370707337750453,0.004057022024432795,0.003157009293690956,0.9389104422344656,0.9986114134353301,0.999476289810209,0.4475628283284115,0.15699002395963366,0.09754030175464291,0.8610529479462368,0.07378153216448452,0.11656434070813307
14,0.1341454660466265,0.0336960965862927,0.004078314754958678,0.003154043732942854,0.9393429690682213,0.9986124850342324,0.9994807128051425,0.4403296298252117,0.17504951517608286,0.09264677756907706,0.8533537952438193,0.0750043161380092,0.11632440066382795
