frame,s1_eV,s2_eV,s3_eV,s4_eV,frac1,frac12,frac123,donor_span_eV,acceptor_low_span_eV,acceptor_high_span_eV,acceptor_middle_gap_eV,low_acceptor_coupling_norm_eV,high_acceptor_coupling_norm_eV
0,0.12415278370093966,0.030502888894486935,0.0040383296946462045,0.003335133546531866,0.9414933519171784,0.9983244804586096,0.999320591787626,0.432409616394875,0.1786631526890703,0.18046638123055073,0.8432682198913317,0.07127774650310707,0.10626031247618462
1,0.12387654719113671,0.030390426601610402,0.00413417733581735,0.0032684585536576784,0.9416231947125417,0.9982957189938142,0.9993444815365344,0.4401112831243871,0.19187196600564124,0.1779742488108286,0.8402930990702463,0.07101285787447102,0.10608451929045513
2,0.12379419850441327,0.030235366037476858,0.00426001977203303,0.0031912628482341663,0.9420618693226999,0.998258373775303,0.9993739572454602,0.4477542023850693,0.20326496069648645,0.17536423925402972,0.8374624965241689,0.07089661196038033,0.10602444662592761
3,0.12392331707625931,0.030033535481537237,0.0044010528107499385,0.003113271078535932,0.9428369752692595,0.998215765633104,0.9994049349811539,0.4547845504636373,0.21240773709654354,0.17312398134486873,0.8346161119548585,0.07093368638551939,0.10609653918538577
4,0.12432169378607962,0.02977650718336701,0.004545373365286853,0.003040413389079501,0.9440190002984966,0.9981734821634937,0.9994353853125741,0.46070653726581023,0.2188385457383606,0.1719917373193191,0.8313801629582535,0.07111507699855411,0.1063723379548318
5,0.12488232976285954,0.029512660646590257,0.004696183983959107,0.002969838214330761,0.9453327475257514,0.9981285562153923,0.9994653761848737,0.46527131954483847,0.2225506192611132,0.1716845948919407,0.8279514821686219,0.07144284072513223,0.10673981458478499
6,0.12565616128486204,0.029245741640397453,0.00484563780365761,0.002904666706229412,0.9467981905826737,0.9980861146750376,0.9994940792913869,0.4680856629537223,0.2229210655301489,0.17211700418950596,0.8249972727642907,0.07195705432228758,0.1072328489810935
7,0.12661656713428068,0.028974255784689158,0.004986197767070136,0.002845560301376753,0.9483876346207171,0.9980502278251411,0.9995209946100208,0.46912999589030985,0.21991014849171495,0.17246681302927677,0.8232593624259872,0.07263985676825412,0.10783168904100054
8,0.12774220063078942,0.02869227613532095,0.005115308653499417,0.0027933801117494728,0.9500901428634135,0.9980221956540933,0.9995456860223402,0.4683845761866582,0.2135102665625719,0.17220000037899327,0.8231979572694024,0.07348251268335795,0.10851546533389513
9,0.12904679669564137,0.028390006792485174,0.005238403987108296,0.002750937606409843,0.9519265273955598,0.9979988350038397,0.9995674159991739,0.465873860321939,0.20373122147209646,0.17124980833193976,0.8250203534887945,0.0744753541587756,0.1093046128031887
