frequency_cm_inverse,power_fraction_below_cutoff,imaginary_cross_spectrum_fraction,rank90,rank95,rank99,channel1_fraction,channel2_cumulative_fraction,channel3_cumulative_fraction,channel1_rms_scale_eV_sqrt_fs,channel1_dominant_operator_elements
335.2402966815599,0.11254644628529903,0.42684818901691735,9,12,15,0.32714531796277935,0.47438451073119736,0.5846400482771148,0.39222530499433994,"(4,4):0.451; (2,2):0.434; (0,0):0.430; (5,5):0.408; (6,6):0.372; (1,1):0.222"
670.4805933631199,0.1678284087002448,0.43608763005687534,10,12,15,0.2787221207768989,0.4178872173102427,0.5098244205125037,0.44209725552260426,"(2,2):0.514; (5,5):0.469; (0,0):0.391; (6,6):0.380; (4,4):0.354; (1,1):0.167"
1005.7208900446798,0.22332573517220383,0.4333014260104907,10,12,15,0.19992053055200693,0.3421417091442219,0.45461186127950376,0.43191416323458653,"(2,2):0.570; (5,5):0.556; (0,0):0.298; (1,3):0.231; (1,2):0.224; (6,6):0.216"
1340.9611867262397,0.23569124630209803,0.43737805133144164,10,11,14,0.20174609606710045,0.35293018274125987,0.4795012475266179,0.44573183960855883,"(5,5):0.428; (6,6):0.403; (2,2):0.358; (1,3):0.331; (0,2):0.291; (4,6):0.270"
1676.2014834077997,0.17645798346309496,0.4486018217611431,8,10,14,0.24170965816630827,0.41247264904131564,0.551888715801784,0.4221502196657075,"(6,6):0.512; (5,5):0.337; (1,3):0.329; (2,3):0.289; (0,2):0.279; (4,4):0.278"
2011.4417800893596,0.07644976638386161,0.435590615412365,8,9,13,0.2658483221740141,0.43929609497678135,0.5772908542632703,0.29140996903804894,"(6,6):0.478; (1,3):0.380; (2,3):0.379; (4,4):0.346; (2,2):0.300; (5,5):0.273"
2346.6820767709196,0.0056712127996950135,0.4370636409738334,9,11,14,0.2306442816964867,0.37830090261126204,0.49992080781202863,0.07392795267224225,"(1,3):0.500; (2,3):0.492; (6,6):0.356; (4,5):0.315; (0,2):0.241; (4,6):0.236"
2681.9223734524794,0.0010036532642937654,0.37866146758820196,10,12,14,0.23017426474127903,0.3693199916400387,0.48446592495631025,0.031068450547423253,"(5,5):0.424; (4,5):0.373; (4,6):0.357; (4,4):0.296; (6,6):0.290; (0,0):0.280"
3017.1626701340397,0.0005951859795244393,0.43181238647938364,9,11,14,0.25703269566252335,0.42184794157086347,0.5438897643232503,0.025282492854521423,"(5,5):0.499; (4,5):0.347; (2,2):0.335; (6,6):0.328; (4,6):0.304; (1,1):0.273"
3352.4029668155995,0.00031609558481175546,0.4397968320830593,9,11,14,0.26275680252270084,0.4352424221856994,0.5631017902113632,0.018628829188444558,"(5,5):0.507; (2,2):0.350; (6,6):0.333; (4,5):0.311; (1,2):0.310; (3,3):0.263"
3687.6432634971593,0.00011426606487273646,0.46996114662154725,9,11,14,0.2956617650239092,0.5010190523055523,0.6053926838479019,0.011881070688999401,"(5,5):0.446; (1,2):0.403; (2,2):0.399; (6,6):0.337; (3,3):0.277; (0,1):0.233"
