mode,variance_hartree2,rms_amplitude_eV,explained_fraction,cumulative_fraction,f_drude,tau_drude_fs,tau_brownian_fs,brownian_frequency_cm_inverse,normalized_rmse,normalized_max_abs_error,fit_success
1,9.359374407153159e-06,0.0832480515181996,0.15887348842369328,0.15887348842369328,0.17919734262608045,99.99999999999999,77.8986835523491,1258.9044223834403,0.024313712744512547,0.07826910876642347,True
2,8.225757997599326e-06,0.07804384021050564,0.13963057904905474,0.29850406747274805,0.22219383131039452,68.07478459914189,54.07836171330988,1288.321146855998,0.020530175518379004,0.06700718277126749,True
3,5.938863250463429e-06,0.06631355788256124,0.10081100304645169,0.39931507051919973,0.17632374762279487,48.880795350710926,90.5179809905112,1352.9454774108044,0.01745115082824165,0.04743738370183653,True
4,5.1114067715029106e-06,0.06152064624238583,0.08676509659881868,0.4860801671180184,0.15224044418593943,88.9986071148725,57.04799463074955,1274.9314480547837,0.02264639446143071,0.06916190598605032,True
5,4.310747018930787e-06,0.05649720135414758,0.07317405916426904,0.5592542262822874,0.23608197440712045,99.99999999999999,58.115472773096734,1152.2968111164273,0.019437541677279263,0.030159559660810853,True
6,4.092504898529067e-06,0.05504847228087341,0.06946944329136355,0.6287236695736509,0.10741729665352003,33.918794708294726,87.01005461127828,1432.3946896244365,0.013223907857413956,0.04166948698430356,True
7,3.517495869328159e-06,0.051034923125040814,0.05970878126736653,0.6884324508410175,0.15774885527843163,72.51744368626876,52.77541743741238,1251.297339856777,0.019732522317624977,0.048713794269442834,True
8,3.3236410637986862e-06,0.049608686114155365,0.05641813513415644,0.7448505859751738,0.22306324322654347,76.74384804856953,38.348081379331845,1238.950557337804,0.024743321458668196,0.07757126869418868,True
9,2.882358049745143e-06,0.046198154938769866,0.04892744518256886,0.7937780311577427,0.21307611819522634,48.11423923922637,40.93156058821804,1256.6539682227124,0.023539153802473713,0.044902172278003555,True
10,2.645448383992688e-06,0.04425886913697165,0.04490595150125857,0.8386839826590012,0.15910301252216794,68.97733755504862,61.32398736562364,1272.0112473648178,0.021416969446817518,0.05581372559710085,True
11,2.127040674544643e-06,0.039686112967545255,0.036106085437261765,0.874790068096263,0.3056337035843499,99.99999999999984,48.03760886335423,1179.5613426001137,0.017344969573300152,0.058205297158424596,True
12,1.935221099847452e-06,0.03785436471736781,0.03284998693597725,0.9076400550322403,0.25137595070765945,99.99999999999999,56.504551769137024,1169.8787186679194,0.012162454062036265,0.02937052942991184,True
