frame,time_fs,epsilon_d_eV,epsilon_a_eV,gap_eV,coupling_real_eV,coupling_imag_eV,coupling_abs_eV,donor_c60_population,acceptor_c60_population,donor_transport_overlap,acceptor_transport_overlap,donor_residual_eV,acceptor_residual_eV,donor_back_residual_eV
0,0.0,-3.49278649337693,-2.9525339552780734,0.5402525380988563,0.01440322304481722,0.0,0.01440322304481722,0.002094177476816716,0.9920454525901946,1.0,1.0,0.019618208396529852,0.43714671903260677,0.10410300233058849
1,0.5,-3.4906437831449497,-2.963057630620265,0.5275861525246845,0.015198347118640794,0.0,0.015198347118640794,0.0021197590941415285,0.9915745670412692,0.9999999843308142,0.9990661022440498,0.02142153495474226,0.4391764640368137,0.10274601787827288
2,1.0,-3.4876781500191507,-2.9764384912309034,0.5112396587882472,0.015980407729041895,0.0,0.015980407729041895,0.0021528636905311428,0.9911125608773368,0.9999999850116298,0.9990115745669957,0.024310819365201793,0.4414269268581305,0.1002255591077124
3,1.5,-3.484298302193507,-2.9918209043956665,0.49247739779784067,0.016769878191022266,0.0,0.016769878191022266,0.0021898101003378152,0.9906740883872943,0.999999980420333,0.999036316278696,0.027856605866241377,0.4430284958004428,0.09702699590455506
4,2.0,-3.4806176175185093,-3.0087456189520476,0.4718719985664618,0.017575464668558725,0.0,0.017575464668558725,0.0022348604299095806,0.9902533382288944,0.9999999838570867,0.998959570039445,0.032870485792767266,0.44424897275107,0.09302946242244337
5,2.5,-3.4759555482975815,-3.0255750497855503,0.4503804985120314,0.018362396009307367,0.0,0.018362396009307367,0.0022828391336559926,0.9898715783879739,0.9999999792238822,0.9990498212758991,0.03801955942626769,0.4443512619716085,0.08867292201934217
6,3.0,-3.470812090254226,-3.043544305701883,0.4272677845523427,0.019173768904867078,0.0,0.019173768904867078,0.0023380880967276865,0.9895158991465242,0.9999999798468857,0.998993370041454,0.044163329536955766,0.44438364177428086,0.08369988614349025
7,3.5,-3.4648434283725495,-3.060124302183628,0.40471912618892164,0.019968553188446224,0.0,0.019968553188446224,0.0023936924579410087,0.9892037484407061,0.9999999754902613,0.999121400963575,0.05006333952744503,0.44353790542288835,0.07863179542266206
8,4.0,-3.4587377348785577,-3.0762797976225036,0.3824579372560543,0.02076085506884283,0.0,0.02076085506884283,0.0024532838894920344,0.9889241917912445,0.9999999746169635,0.9991621964906291,0.056184961564718805,0.442513489647023,0.07337541385433351
9,4.5,-3.452785274017863,-3.09159653577889,0.36118873823897274,0.02154795561498012,0.0,0.02154795561498012,0.0025181843270620204,0.9886696679357625,0.9999999754019269,0.99917996706538,0.06246146176077343,0.4416080499649996,0.06798757369467849
10,5.0,-3.4466506832419066,-3.104845297477809,0.3418053857640976,0.02234268446952355,0.0,0.02234268446952355,0.00258050797626477,0.9884518748980355,0.9999999730448482,0.9993120820905707,0.06816827629828628,0.4406610690961662,0.06283320340623756
11,5.5,-3.4404641378959755,-3.1160133983497147,0.3244507395462607,0.023136375519084935,0.0,0.023136375519084935,0.002642543013450071,0.9882629515092538,0.9999999730087572,0.9994078019169111,0.073358340412482,0.43994014937595716,0.0579672844140823
12,6.0,-3.4331687852220347,-3.1240723719376913,0.30909641328434334,0.023931024351963585,0.0,0.023931024351963585,0.0027012244441587435,0.9881080218590573,0.9999999724681444,0.9995366069397651,0.07765620389762722,0.4393403956097487,0.053639224641219826
13,6.5,-3.4289886151954465,-3.132453687661451,0.296534927533996,0.02474471545799522,0.0,0.02474471545799522,0.002762409017644173,0.9879683655655933,0.9999999746549112,0.9995599603643313,0.08167142855458417,0.4395239274079357,0.049517972037890434
