time_fs,c60_population_raw,c60_population_trace_normalized,trace_real,trace_imag,hermiticity_error,minimum_density_eigenvalue,digitized_experiment_interpolated
0.0,1.77e-06,1.7700000354000007e-06,0.99999998,0.0,0.0,1.0172137496573294e-08,0.0
0.05000000000000001,4.39e-06,4.390013740743009e-06,0.9999968699999999,7.999999999999998e-08,2.443726662293588e-06,7.482930767151388e-08,0.0013180894000000005
0.10000000000000002,1.256e-05,1.2560036926508561e-05,0.9999970600000001,1.1000000000000005e-07,8.93569247456503e-06,2.2749180366190356e-07,0.002636178800000001
0.15000000000000005,2.6399999999999998e-05,2.6400078936236018e-05,0.9999970100000002,1.2999999999999992e-07,1.7111113347761813e-05,3.83883707213066e-07,0.003954268200000002
0.20000000000000004,4.5919999999999994e-05,4.592014281164415e-05,0.9999968899999999,1.5999999999999995e-07,2.5895926320563263e-05,6.261778775336639e-07,0.005272357600000002
0.25000000000000006,7.108e-05,7.108023598638349e-05,0.99999668,1.6999999999999983e-07,3.521914820094183e-05,9.267761254270607e-07,0.006590447000000003
0.3000000000000001,0.00010190000000000001,0.000101900364803306,0.9999964200000001,1.8000000000000018e-07,4.508359568623683e-05,1.3130825569986269e-06,0.007908536400000004
0.3500000000000001,0.00013835,0.0001383505437176368,0.9999960699999999,1.8999999999999913e-07,5.5505264615169415e-05,1.7774663173777835e-06,0.009226625800000004
0.4000000000000001,0.00018041,0.00018041080102395657,0.9999955599999999,1.7999999999999997e-07,6.652611216657919e-05,2.307901706166024e-06,0.010544715200000004
0.45000000000000007,0.00022806999999999998,0.0002280711471978704,0.99999497,1.400000000000001e-07,7.813647931664239e-05,2.904745859444872e-06,0.011862804600000004
0.5000000000000001,0.00028127,0.0002812716341881946,0.99999419,9.999999999999857e-08,9.037180976388544e-05,3.5692091642532017e-06,0.013180894000000005
0.5500000000000002,0.00034000999999999997,0.0003400122950829918,0.9999932500000001,9.999999999999037e-09,0.00010320267535291807,4.309086847941302e-06,0.014498983400000007
0.6000000000000002,0.00040425,0.0004042531855151019,0.99999212,-7.000000000000057e-08,0.0001166702361358703,5.119810258507058e-06,0.01581707280000001
0.6500000000000001,0.00047395,0.00047395436038011535,0.9999908000000002,-1.9999999999999803e-07,0.00013073991968790634,5.992454715883927e-06,0.017135162200000005
0.7000000000000002,0.00054907,0.0005490758860934989,0.9999892799999999,-3.600000000000004e-07,0.00014544151264339928,6.947171951393278e-06,0.01845325160000001
0.7500000000000002,0.0006295599999999999,0.0006295678633026126,0.9999875100000001,-5.500000000000009e-07,0.00016076268037078662,7.968049827194026e-06,0.019771341000000008
0.8000000000000002,0.00071537,0.0007153803801693164,0.9999854899999999,-7.900000000000028e-07,0.00017668052467660427,9.062120594012751e-06,0.021089430400000008
0.8500000000000002,0.00080646,0.0008064735487556191,0.9999832,-1.0599999999999992e-06,0.00019319769305040912,1.0235938954618067e-05,0.022407519800000008
0.9000000000000001,0.0009027799999999999,0.0009027974601028784,0.99998066,-1.3600000000000022e-06,0.00021031106247651344,1.1494135339080492e-05,0.023725609200000008
0.9500000000000002,0.00100425,0.0010042722647161087,0.99997783,-1.7099999999999965e-06,0.00022800138464491748,1.2830810807375976e-05,0.025043698600000008
1.0000000000000002,0.00111081,0.0011108381042040363,0.9999747000000001,-2.1099999999999955e-06,0.0002462752630695982,1.4245541061091389e-05,0.02636178800000001
1.0500000000000003,0.00122242,0.0012224551089107278,0.9999712800000001,-2.5300000000000046e-06,0.00026511279297687635,1.575358369681611e-05,0.02767987740000001
1.1000000000000003,0.0013390099999999999,0.0013390534121116206,0.9999675800000001,-3.030000000000004e-06,0.00028449958664293363,1.7352749577802723e-05,0.028997966800000014
1.1500000000000004,0.00146047,0.0014605231922546619,0.99996358,-3.5700000000000014e-06,0.0003044199674791391,1.9024530096570832e-05,0.030316056200000014
1.2000000000000004,0.00158676,0.0015868245520227761,0.99995932,-4.129999999999998e-06,0.00032485493931907507,2.0806319101189662e-05,0.03163414560000002
1.2500000000000004,0.0017177999999999998,0.0017178776652492457,0.9999547900000001,-4.779999999999999e-06,0.00034581762129770176,2.2674481019699397e-05,0.03295223500000002
1.3000000000000003,0.0018535000000000001,0.0018535926425602752,0.99995002,-5.470000000000001e-06,0.00036725863611357016,2.4647635640827723e-05,0.03427032440000001
1.3500000000000003,0.0019937699999999997,0.001993879603561808,0.99994503,-6.240000000000006e-06,0.00038918419495144024,2.6711887264765317e-05,0.03558841380000002
1.4000000000000004,0.00213854,0.002138668683694698,0.99993983,-7.089999999999998e-06,0.000411577195675368,2.8881637618624597e-05,0.03690650320000002
1.4500000000000004,0.00228772,0.0022878699012359284,0.9999344800000001,-7.989999999999996e-06,0.0004344100915034092,3.116221988443224e-05,0.03822459260000002
1.5000000000000004,0.00244119,0.0024413634588737526,0.99992895,-8.989999999999994e-06,0.00045767077009570837,3.354170524274709e-05,0.039542682000000016
1.5500000000000005,0.0025989,0.0025990992469482714,0.9999233399999999,-1.0079999999999998e-05,0.00048133429069618553,3.603494639354439e-05,0.040860771400000016
1.6000000000000003,0.00276072,0.002760947364015426,0.99991765,-1.1259999999999996e-05,0.0005053994261967452,3.864325345887683e-05,0.042178860800000016
1.6500000000000004,0.00292657,0.002926827765721327,0.99991193,-1.2540000000000002e-05,0.0005298462463771918,4.1367295721588085e-05,0.043496950200000016
1.7000000000000004,0.0030963299999999996,0.003096620462999429,0.9999062000000001,-1.3929999999999994e-05,0.0005546629008686275,4.420497872090433e-05,0.044815039600000016
1.7500000000000004,0.0032699,0.0032702253874260494,0.9999005,-1.546e-05,0.0005798214952897146,4.716330973498387e-05,0.046133129000000016
1.8000000000000003,0.00344719,0.0034475523377506976,0.9998949,-1.709e-05,0.000605307379931881,5.0243969462592276e-05,0.047451218400000016
1.8500000000000005,0.00362808,0.0036284813100328902,0.9998893999999999,-1.887e-05,0.0006311077798601436,5.345616648246849e-05,0.04876930780000002
1.9000000000000004,0.00381247,0.0038129121834259115,0.9998840299999999,-2.0780000000000008e-05,0.0006572093289051818,5.678483655818629e-05,0.050087397200000015
1.9500000000000006,0.0040002300000000005,0.004000714606560292,0.99987887,-2.2859999999999984e-05,0.0006835999964891737,6.025060844426939e-05,0.05140548660000002
2.0000000000000004,0.00419127,0.004191798585801669,0.9998739,-2.5100000000000004e-05,0.0007102581909418559,6.384644035356481e-05,0.05272357600000002
2.0500000000000003,0.00438546,0.004386033824805299,0.9998691700000001,-2.7530000000000002e-05,0.0007371784869351515,6.758282821126463e-05,0.054041665400000015
2.1000000000000005,0.0045826800000000004,0.004583300212184713,0.99986468,-3.0119999999999996e-05,0.0007643532589058537,7.14471272250985e-05,0.05535975480000002
2.1500000000000004,0.00478283,0.004783497489239649,0.99986046,-3.2900000000000014e-05,0.0007917672578479126,7.545672296877898e-05,0.056677844200000015
2.2000000000000006,0.00498578,0.004986495362624722,0.9998565399999999,-3.59e-05,0.0008194021136169975,7.960636217061272e-05,0.05799593360000003
2.2500000000000004,0.0051914100000000005,0.0051921738726201415,0.9998528799999998,-3.911e-05,0.0008472523517819225,8.389443770836157e-05,0.05931402300000002
2.3000000000000007,0.00539962,0.005400432603093787,0.99984953,-4.255000000000002e-05,0.0008753176097851567,8.833374053335253e-05,0.06063211240000003
2.3500000000000005,0.005610260000000001,0.005611121699959462,0.9998464300000002,-4.6199999999999985e-05,0.0009035814567597108,9.291673064067378e-05,0.06195020180000002
2.400000000000001,0.00582324,0.005824150897200322,0.9998435999999999,-5.012e-05,0.0009320643240678187,9.764148605379894e-05,0.06326829120000003
2.4500000000000006,0.006038419999999999,0.006039380140654761,0.9998410200000001,-5.427e-05,0.0009607295290559167,0.00010252188434694277,0.06458638060000002
2.500000000000001,0.0062556899999999995,0.006256699518467304,0.99983865,-5.870000000000001e-05,0.0009895745371623116,0.0001075601726215737,0.06590447000000003
2.5500000000000007,0.00647491,0.006475969339064485,0.99983642,-6.339e-05,0.001018594497727137,0.00011273403689435904,0.06722255940000003
2.6000000000000005,0.00669599,0.006697099307529299,0.99983436,-6.837000000000001e-05,0.001047800423363152,0.0001180803139811561,0.06854064880000002
