# vmf_atol: 1e-09 | ps2_atol: 1e-09 | ps2_ratio: 2.0 | ode_method: dopri5 | ode_atol: 1e-09 | ode_rtol: 1e-07 | vmf_reg_method: extend | vmf_reg_type: ip | cache_svd_info: True
# frame = {Node('[H]0'): [End('[H]i'), End('[H]j'), Node('[H]15')], Node('[H]15'): [Node('[H]0'), Node('[H]14'), Node('[H]13')], Node('[H]14'): [Node('[H]15'), Node('[H]10'), Node('[H]9')], Node('[H]13'): [Node('[H]15'), Node('[H]12'), Node('[H]11')], Node('[H]10'): [Node('[H]14'), Node('[H]6'), Node('[H]5')], Node('[H]9'): [Node('[H]14'), Node('[H]8'), Node('[H]7')], Node('[H]12'): [Node('[H]13'), Node('[H]2'), Node('[H]1')], Node('[H]11'): [Node('[H]13'), Node('[H]4'), Node('[H]3')], Node('[H]2'): [Node('[H]12'), End('[H]0-2'), End('[H]0-3')], Node('[H]1'): [Node('[H]12'), End('[H]0-0'), End('[H]0-1')], Node('[H]4'): [Node('[H]11'), End('[H]1-2'), End('[H]1-3')], Node('[H]3'): [Node('[H]11'), End('[H]1-0'), End('[H]1-1')], Node('[H]6'): [Node('[H]10'), End('[H]2-2'), End('[H]2-3')], Node('[H]5'): [Node('[H]10'), End('[H]2-0'), End('[H]2-1')], Node('[H]8'): [Node('[H]9'), End('[H]3-2'), End('[H]3-3')], Node('[H]7'): [Node('[H]9'), End('[H]3-0'), End('[H]3-1')]}
# time ode_steps max_rank tr norm
# # ([H]0)-([H]15) ([H]15)-([H]13) ([H]13)-([H]11) ([H]11)-([H]3) ([H]11)-([H]4) ([H]13)-([H]12) ([H]12)-([H]1) ([H]12)-([H]2) ([H]15)-([H]14) ([H]14)-([H]9) ([H]9)-([H]7) ([H]9)-([H]8) ([H]14)-([H]10) ([H]10)-([H]5) ([H]10)-([H]6)
0.0 0 8 1.0 0.9964404361501844
# 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
0.05000000000000001 464 56 0.9999994053829656 0.9964909942257003
# 49 9 9 16 16 9 16 16 56 28 16 16 18 12 14
0.10000000000000002 464 90 0.9999994053843425 0.9966450622737052
# 49 90 36 16 16 36 16 16 68 28 16 16 24 14 14
0.15000000000000005 140 90 0.9999994053843355 0.9969028457920345
# 49 90 36 16 16 36 16 16 68 28 16 16 24 14 14
0.20000000000000004 128 90 0.9999994053843407 0.9972640358138505
# 49 90 36 16 16 36 16 16 68 28 16 16 24 14 14
0.25000000000000006 104 90 0.9999994053843382 0.9977283301969854
# 49 90 36 16 16 36 16 16 68 28 16 16 24 14 14
0.3000000000000001 92 90 0.9999994053843377 0.9982954334217795
# 49 90 36 16 16 36 16 16 68 28 16 16 24 14 14
0.3500000000000001 80 90 0.9999994053843416 0.9989650563894217
# 49 90 36 16 16 36 16 16 68 28 16 16 24 14 14
0.4000000000000001 80 90 0.9999994053843385 0.9997369162234051
# 49 90 36 16 16 36 16 16 68 28 16 16 24 14 14
0.45000000000000007 74 90 0.9999994053843361 1.0006107360738132
# 49 90 36 16 16 36 16 16 68 28 16 16 24 14 14
0.5000000000000001 62 90 0.9999994053843301 1.001586244924258
# 49 90 36 16 16 36 16 16 68 28 16 16 24 14 14
0.5500000000000002 50 90 0.9999994053843227 1.002663177401269
# 49 90 36 16 16 36 16 16 68 28 16 16 24 14 14
0.6000000000000002 50 90 0.999999405384302 1.003841273585874
# 49 90 36 16 16 36 16 16 68 28 16 16 24 14 14
0.6500000000000001 44 90 0.9999994053842688 1.005120278827094
# 49 90 36 16 16 36 16 16 68 28 16 16 24 14 14
0.7000000000000002 44 90 0.9999994053842165 1.0064999435571536
