time_fs,physical_c60_mean,physical_c60_sem,physical_c60_ci95_low,physical_c60_ci95_high,surface_c60_mean,surface_c60_sem,surface_c60_ci95_low,surface_c60_ci95_high,sh_state_0_mean,sh_state_1_mean,sh_state_2_mean,sh_state_3_mean,sh_state_4_mean,sh_state_5_mean,sh_state_6_mean,sh_state_7_mean,sh_state_8_mean,sh_state_9_mean,sh_state_0_sem,sh_state_1_sem,sh_state_2_sem,sh_state_3_sem,sh_state_4_sem,sh_state_5_sem,sh_state_6_sem,sh_state_7_sem,sh_state_8_sem,sh_state_9_sem
0.0,0.0014380594926732405,0.00015019661953779464,0.0010982911339577415,0.0017778278513887395,0.25158518282176334,0.06263752439805507,0.10988925834475574,0.39328110729877097,0.0025650000000000004,0.053384999999999995,0.15049999999999997,0.78815,0.002955,0.0009349999999999999,0.0011949999999999999,0.00013,7e-05,0.00011500000000000002,0.0007506312158591742,0.026744654761902107,0.0703984753622785,0.06476612969411986,0.0008925758604548226,0.0002206115238251267,0.00013953295110634062,4.48454134902457e-05,4.163331998932265e-05,2.114762923408253e-05
0.5,0.0018347435896198193,0.0001586714005166931,0.0014758039444097593,0.0021936832348298796,0.24320376660419254,0.05826805065703695,0.11139227844808777,0.3750152547602973,0.0030150000000000003,0.04252,0.16499499999999998,0.7831949999999999,0.0037150000000000004,0.00092,0.00131,0.000135,6.500000000000001e-05,0.00013,0.0008900702219488078,0.017748562070082057,0.07555765769338743,0.07192017776288129,0.0012288669126023731,0.0003500952251411988,0.00013494854986664773,4.890466917040402e-05,3.8042374035044425e-05,2.2607766610417554e-05
1.0,0.002912310373734372,0.00022622060108281995,0.0024005638206223553,0.0034240569268463887,0.2472870832305941,0.05756839958346651,0.11705831576202613,0.37751585069916205,0.0032150000000000004,0.036180000000000004,0.19542500000000002,0.754205,0.006874999999999999,0.002165,0.0015800000000000002,0.000145,4.4999999999999996e-05,0.000165,0.0010960547938452306,0.012543688541343101,0.08330564781774003,0.08107561266770942,0.0026672212964889966,0.000702260239828829,0.00018651779778050372,5.6000992054704796e-05,2.7335365778094535e-05,3.6552853665768844e-05
1.5,0.004408280703458276,0.0003637756502310858,0.0035853630106364503,0.005231198396280101,0.2279911416208633,0.05428721358333301,0.10518493256497055,0.3507973506767561,0.00577,0.02525,0.23704999999999998,0.712255,0.013445000000000002,0.004124999999999999,0.0017649999999999999,0.000135,4.4999999999999996e-05,0.00016,0.003218930119016427,0.01029415422028984,0.09871660785636156,0.09615984708633155,0.005741822445879009,0.0013604584603074882,0.0003005596631471214,5.1126205500593225e-05,3.201562118716423e-05,3.559026084010437e-05
2.0,0.006037704092929883,0.0005326386598319424,0.004832791733407818,0.007242616452451948,0.21356081357034212,0.052169572872086345,0.09554504061762908,0.33157658652305516,0.0041800000000000006,0.020184999999999998,0.243585,0.698915,0.023200000000000002,0.00756,0.00204,0.000155,2.9999999999999997e-05,0.00015000000000000001,0.0019723111091080716,0.007647192840077549,0.10180865550684337,0.09721120107214441,0.009945546183538082,0.00228014132115631,0.00043376901175113406,4.5e-05,2.9999999999999994e-05,3.073181485764295e-05
2.5,0.007638543794572489,0.0007215357894717984,0.006006316440203602,0.009270771148941375,0.20778483173464926,0.05194185826404411,0.09028418501359274,0.32528547845570577,0.003534999999999999,0.016399999999999998,0.23419500000000001,0.6925899999999999,0.033955,0.01677,0.00224,0.000145,4.4999999999999996e-05,0.000125,0.0016881622157442887,0.0057005214186462315,0.09921474505390371,0.0914789255633352,0.014075014209584298,0.006628202370678392,0.000518051906451253,3.3706247360261145e-05,3.023059524536175e-05,2.6087459737497542e-05
3.0,0.0092401456283079,0.0009413858031322619,0.0071105829907957135,0.011369708265820087,0.19071497308372798,0.04237731733288755,0.0948508211389639,0.28657912502849203,0.00317,0.013929999999999998,0.21846000000000002,0.68492,0.04653,0.030135000000000002,0.0025399999999999997,0.00015,6.000000000000001e-05,0.00010499999999999999,0.0015601139559517938,0.004443585889296567,0.09832669632969018,0.08790600478794254,0.018822503080680376,0.015282811786811717,0.0006210117193383353,3.574601764921203e-05,2.5603819159562026e-05,2.833333333333333e-05
3.5,0.011028526082623835,0.0012051503003182834,0.008302286698510422,0.013754765466737248,0.17954660080772655,0.04328641962438828,0.08162591660252783,0.2774672850129253,0.002725,0.012229999999999998,0.218525,0.657245,0.06046,0.045895000000000005,0.0026050000000000005,0.000135,5e-05,0.00013,0.001325628781622769,0.0036112109387910927,0.10039170927754278,0.08828595284327198,0.02441033114619027,0.025266052598078886,0.000649035609363787,3.1666666666666666e-05,1.6666666666666664e-05,3.666666666666666e-05
4.0,0.013241181049611545,0.0015207043237747,0.009801108871086407,0.016681253228136683,0.1799742749174059,0.0475464502134787,0.07241673200135681,0.28753181783345494,0.0030700000000000007,0.010515,0.22637999999999997,0.620325,0.072575,0.0641,0.00272,0.000145,3.5e-05,0.00013499999999999997,0.0011462063029354223,0.002785468741722138,0.10180315925025771,0.08802555602714979,0.029724091659796767,0.03627354714143934,0.0006438685165984331,3.452052529534663e-05,1.3017082793177757e-05,4.017323597731316e-05
4.5,0.016042797384652967,0.0018955667834444558,0.011754727407921738,0.020330867361384196,0.18171123048119758,0.04915102277274928,0.07052389225696512,0.2928985687054301,0.0035449999999999995,0.00928,0.23170000000000002,0.58844,0.08273,0.08120000000000001,0.0027549999999999996,0.00016999999999999999,4e-05,0.00014,0.0014562594777946223,0.0023255250303246934,0.10240907050755914,0.08745434389821165,0.03439598183896873,0.045654116888719794,0.0005869151935709659,4.1633319989322656e-05,2.2110831935702667e-05,4.396968652757639e-05
5.0,0.01944895238601807,0.002336313036025579,0.014163845117033986,0.024734059655002152,0.1833752775857011,0.04929659339173369,0.07185863574304009,0.2948919194283621,0.0035449999999999995,0.008624999999999999,0.23234999999999997,0.56387,0.091475,0.096915,0.002835,0.000175,5.9999999999999995e-05,0.00015000000000000001,0.0014159498186337286,0.002347211702803515,0.10159567658124041,0.08607571286050694,0.03878092475689563,0.053441010079650755,0.0005217518567288477,3.961621441334903e-05,2.5603819159562026e-05,4.772607021092117e-05
5.5,0.0233296632310837,0.0028392356950754354,0.016906865866596465,0.029752460595570938,0.18345902980928447,0.04861056627932894,0.07349428911282362,0.2934237705057453,0.003414999999999999,0.008579999999999999,0.22781,0.5475000000000001,0.099415,0.10992000000000002,0.0029399999999999995,0.00019499999999999997,7.500000000000001e-05,0.00015000000000000001,0.0013239681516814014,0.0023407524905940443,0.09981959053991132,0.08512283118464099,0.04240162539468399,0.05933665028181711,0.0005184271083447186,4.6218082079540156e-05,3.354101966249684e-05,4.013864859597432e-05
6.0,0.027473516703288632,0.003394260061432319,0.01979516699291964,0.035151866413657626,0.18143685714304592,0.04746443029610703,0.07406485617057128,0.28880885811552054,0.003635,0.008674999999999999,0.22004999999999994,0.5366899999999999,0.10683500000000001,0.120555,0.0031600000000000005,0.000195,7.000000000000001e-05,0.00013499999999999997,0.0013070970804717518,0.0023683943224612463,0.09748784511129806,0.08520150618126157,0.045735426974672,0.06365981527270995,0.0006442394309916496,4.179978734661484e-05,2.999999999999999e-05,3.5e-05
6.5,0.03167461527591906,0.0039960810274136975,0.022634851956633156,0.040714378595204964,0.1779504631105185,0.046395735185384264,0.07299601843761278,0.2829049077834242,0.0036999999999999997,0.008889999999999999,0.20913500000000002,0.5319400000000001,0.11318500000000001,0.12930999999999998,0.003465,0.000175,7.500000000000001e-05,0.000125,0.0011315181542217222,0.0022448310998083275,0.09444548134888307,0.08578585379368274,0.04837082858845125,0.06691322689374152,0.0009496212695362058,4.031128874149274e-05,3.89087250997625e-05,3.095695936834451e-05
7.0,0.035793639631850095,0.004654100833749838,0.025265332094397804,0.04632194716930239,0.1728488298155184,0.045884083849157944,0.06905182087771235,0.2766458387533245,0.003965,0.009260000000000001,0.19526500000000005,0.5311100000000001,0.11952,0.13677,0.00377,0.00017999999999999998,5e-05,0.00010999999999999999,0.001211382360042535,0.002052313058207468,0.09095883624841881,0.08663363723173578,0.05083167822442135,0.06897642399158328,0.0012859972351793327,3.8151743807531986e-05,1.6666666666666664e-05,3.2317865716108856e-05
7.5,0.0397676067974989,0.00537983476039862,0.027597575059592393,0.0519376385354054,0.1665829831814723,0.04497818011814883,0.06483527085757411,0.2683306955053705,0.00479,0.008990000000000001,0.18016000000000004,0.5341,0.12453500000000002,0.14280500000000002,0.0042899999999999995,0.00016,6.500000000000001e-05,0.00010499999999999998,0.0016218953247495486,0.001905019684937665,0.08702566952086928,0.0868736048648968,0.05225136417676895,0.06995176292353975,0.0016313729732276973,4.396968652757639e-05,2.891558595482912e-05,3.452052529534663e-05
8.0,0.04359005581451807,0.006181009180587012,0.029607641623331696,0.05757247000570444,0.15712205894561637,0.04101644653306136,0.06433641062832203,0.24990770726291073,0.0055899999999999995,0.008500000000000002,0.164395,0.5383749999999999,0.12947999999999998,0.148525,0.0048400000000000006,0.000145,4.500000000000001e-05,0.00010499999999999999,0.0019526591555562834,0.0018600328551459035,0.08341165068169101,0.08685362183006531,0.05316704973738695,0.07016431122333093,0.0020413475941152208,4.0448870331705315e-05,2.4094720491334932e-05,3.685557397915996e-05
8.5,0.04728115750997851,0.007049208432684114,0.03133474016192463,0.06322757485803238,0.14283769998401347,0.0338225700569366,0.06632573086547025,0.21934966910255668,0.006435000000000001,0.00808,0.14857499999999996,0.5418000000000001,0.134995,0.15419,0.005595000000000001,0.00017500000000000003,6.000000000000001e-05,9.5e-05,0.00226770870655333,0.0019181327726029115,0.08146974395783722,0.08708588991462521,0.05331082673549738,0.06987288410630645,0.002342190925892536,4.362084109434133e-05,3.3166247903553995e-05,2.9297326385411574e-05
