time_fs,se_c60_population,active_surface_c60_diagonal,norm,interval_hops_before_frame,interval_max_raw_probability_sum,interval_renormalized_probability_vectors,se_state_0,se_state_1,se_state_2,se_state_3,se_state_4,se_state_5,se_state_6,se_state_7,se_state_8,se_state_9,sh_state_0,sh_state_1,sh_state_2,sh_state_3,sh_state_4,sh_state_5,sh_state_6,sh_state_7,sh_state_8,sh_state_9
0.0,0.002097398358735143,0.012042659088819005,1.0000000000000002,0,0.0,0,9.646425145306662e-05,0.0023136214644056434,0.0020140851208365635,0.9883257909819838,0.005198381447987937,2.4056306028345922e-05,0.00183595323473286,5.468681224577073e-05,2.347503369071383e-05,0.00011348534663539502,5e-05,0.00215,0.00185,0.9886,0.005,0.0,0.00225,0.0,0.0,0.0001
0.5,0.0022439727477174716,0.011903912280570859,1.0000000000000369,11,1.0000000000000002,0,7.507679615033855e-05,0.0027282018221918758,0.0016104080159202085,0.9851665841359131,0.008170082865091929,1.6565641418488718e-06,0.002024780372224007,7.978944673035082e-05,2.2026171135325517e-05,0.00012139381053800262,5e-05,0.0026,0.0014,0.98865,0.005,0.0,0.0022,0.0,0.0,0.0001
1.0,0.0026306725863892407,0.01155466935622004,1.00000000000007,7,1.0000000000000002,0,5.516997614029361e-05,0.003049883057638453,0.0010972842144849396,0.978915859599015,0.014309690449746292,2.6847506592670972e-05,0.0022966701444444753,0.00010792752007709261,1.795771584078872e-05,0.00012270981609019733,5e-05,0.00285,0.00115,0.98855,0.0051,0.0,0.0022,0.0,0.0,0.0001
1.5,0.003195391029344319,0.011059706448656823,1.000000000000111,8,1.0000000000000002,0,3.580468075272583e-05,0.0032750443602479486,0.0005788248205356111,0.9679933291961081,0.02520629325162348,6.661784084315781e-05,0.0025852293154806634,0.00013126857664546817,1.1732697526370848e-05,0.00011585526034757102,5e-05,0.0032,0.0008,0.9885,0.00515,0.0,0.0022,0.0,0.0,0.0001
2.0,0.003855778616254231,0.010591392062543292,1.0000000000000862,9,1.0000000000000002,0,1.6785461918473482e-05,0.0034396136580898745,0.00017685490892605917,0.9487287772512507,0.044205344725574865,0.00013767485383199476,0.0030460855245163588,0.00013870983159310388,5.745089450148409e-06,0.00010440869493433289,5e-05,0.0035,0.0005,0.98835,0.0053,0.0,0.0022,0.0,0.0,0.0001
2.5,0.004532732478209121,0.010039560991421895,1.000000000000115,18,1.0000000000000002,0,5.120313815984721e-06,0.0034708972827764326,1.0092660806759981e-05,0.9184583164312105,0.07405616798240809,0.0003098538371809765,0.003468120180757615,0.00012913893846887704,2.5741931706246896e-06,8.971817951905904e-05,5e-05,0.0038,5e-05,0.98835,0.0056,0.0,0.00205,0.0,0.0,0.0001
3.0,0.005199528529161956,0.010241086002531938,1.0000000000001235,17,1.0000000000000002,0,8.823277837534294e-06,0.003439329967836739,0.0002208758268611824,0.8742674849527522,0.1172876800710236,0.0006212218082012006,0.003971405222993155,0.00010413442765399654,3.181426330327468e-06,7.586301863364633e-05,5e-05,0.00385,0.00025,0.9877,0.0061,0.0,0.00195,5e-05,0.0,5e-05
3.5,0.005867536218427917,0.011614756484858038,1.0000000000001479,40,1.0000000000000002,0,4.268304867133724e-05,0.0032972475577263596,0.0009208053431281234,0.8151362454509101,0.17506208152028774,0.0009964595053501787,0.004396263422676919,7.552406312405845e-05,5.988017022808928e-06,6.670207125017662e-05,0.00015,0.00385,0.001,0.98585,0.00715,0.0,0.0019,5e-05,0.0,5e-05
4.0,0.006588452984435856,0.014338294175692627,1.0000000000001479,48,1.0000000000000002,0,0.00013246264619447338,0.0030775886675639217,0.0022286827182176846,0.7461752480495457,0.2420883007126756,0.0014184956095932779,0.0047498784517932945,5.698652712884348e-05,8.705460615895842e-06,6.365115681948949e-05,0.00015,0.004,0.00205,0.98345,0.00835,0.0,0.0019,5e-05,0.0,5e-05
4.5,0.007418846506677941,0.01992534826817734,1.0000000000001164,92,1.0000000000000002,0,0.0003007879559801682,0.002767063221578555,0.004323750815072798,0.6776445441106711,0.30795943760173755,0.0018817686048651049,0.004987622920351544,5.907907454477479e-05,9.225835628698746e-06,6.671985968599124e-05,0.0003,0.00395,0.00465,0.979,0.0101,0.0,0.0019,5e-05,0.0,5e-05
5.0,0.008396241441723023,0.028714275097021437,1.0000000000000802,135,1.0000000000000002,0,0.0005421617828783882,0.0023733962237422945,0.007235324865837317,0.61317338577864,0.36916942559340754,0.0022384445587915014,0.00510576101355948,8.165673209713628e-05,6.9296169459375245e-06,7.351383418061826e-05,0.001,0.00335,0.009,0.973,0.01165,0.0,0.0019,5e-05,0.0,5e-05
5.5,0.009550325328093827,0.04073911679087198,1.0000000000000708,151,1.0000000000000002,0,0.0008172374068618776,0.0019465918420197839,0.011065065199953344,0.5578372407503903,0.4205286106947226,0.0025054200356032738,0.005098807484987784,0.00011801178202052236,3.2770121327955805e-06,7.973779137831463e-05,0.00135,0.00315,0.01485,0.96595,0.01285,0.0,0.00175,5e-05,0.0,5e-05
6.0,0.01088510329087062,0.05532715639869333,1.0000000000000737,178,1.0000000000000002,0,0.0010842430233323455,0.0015404456716079545,0.015331834160217285,0.5107872556255463,0.4632634274138982,0.0027096246548267444,0.005044658828814328,0.00015692635928222926,9.369450062425965e-07,8.064731754217657e-05,0.0017,0.00305,0.0223,0.95755,0.0137,0.0,0.0016,5e-05,0.0,5e-05
6.5,0.012387421509635045,0.07607728010671423,1.0000000000000786,238,1.0000000000000002,0,0.0013131359522021015,0.0011815092748675108,0.02156718146718177,0.4758361197795058,0.4920273881505942,0.002981614332952482,0.004839153428042867,0.00017608990522440877,2.183097793241298e-06,7.56246117143588e-05,0.00245,0.00235,0.03285,0.94655,0.01425,0.0,0.00145,5e-05,0.0,5e-05
7.0,0.013990065275619901,0.09720228055254683,1.0000000000000697,245,1.0000000000000002,0,0.0015141505454194129,0.0008899772210290044,0.02748043594702883,0.4467733315892079,0.5147570674537196,0.0035570491128417633,0.004777724367241518,0.00017717011837126248,7.379735849809331e-06,6.571390936055311e-05,0.0027,0.0021,0.0445,0.93495,0.01455,0.0,0.00115,5e-05,0.0,0.0
7.5,0.015597483447678407,0.12170521621331627,1.0000000000000835,291,1.0000000000000002,0,0.0016815031576325832,0.0006630205010140851,0.03437960299062173,0.4251465696613332,0.5284822892141319,0.00465567415560177,0.004763595192526219,0.00015670089678212584,1.4691782563058033e-05,5.635244787697491e-05,0.00325,0.0017,0.0581,0.921,0.0148,0.0,0.0011,5e-05,0.0,0.0
8.0,0.017075172495568763,0.14436802352053216,1.0000000000000637,280,1.0000000000000002,0,0.001824656404521408,0.0005346406618696981,0.0406642978334949,0.4081463314635533,0.5366927332253848,0.006877959611865212,0.0050586119089755235,0.00012701802527508255,2.0753036489648186e-05,5.299782863411543e-05,0.00375,0.0016,0.0708,0.9078,0.015,0.0,0.00105,0.0,0.0,0.0
8.5,0.018300357583964734,0.16326320341818537,1.0000000000000457,263,1.0000000000000002,0,0.0019430850618896713,0.0005104808653651,0.045518996082383335,0.397586382842388,0.5384170349297469,0.010289893094226118,0.005550888591405968,0.00010094935838849309,2.386362512524694e-05,5.842554912688151e-05,0.00445,0.002,0.08145,0.896,0.01505,0.0,0.00105,0.0,0.0,0.0
9.0,0.019202766322381982,0.1791217947069462,1.0000000000000246,236,1.0000000000000002,0,0.002034446209047193,0.0006205856576562266,0.049424067472885164,0.39083143279424326,0.5349364447440881,0.015608953236248885,0.006361351555850044,8.789376811641587e-05,2.3046543295525816e-05,7.177801859378382e-05,0.0052,0.00275,0.0898,0.88615,0.01505,0.0,0.00105,0.0,0.0,0.0
9.5,0.019796351170823914,0.1888593385678904,1.0000000000000324,163,1.0000000000000002,0,0.0021062469960778933,0.0008662665738379563,0.05139271703638503,0.38789639355505057,0.5269657025137859,0.023074428302221214,0.007499757653785172,8.945528488408567e-05,2.056843435428614e-05,8.846364965041975e-05,0.0059,0.0036,0.09415,0.88025,0.01505,0.0,0.00105,0.0,0.0,0.0
10.0,0.020184956207781612,0.19292208711520084,1.000000000000027,94,1.0000000000000002,0,0.0021688274587281712,0.0012249649569719997,0.051231003409616914,0.38792452067756167,0.5156092970162477,0.032675541098256065,0.008943583676377832,0.00010052184398612943,1.914960543099976e-05,0.00010259025684945641,0.0064,0.0049,0.09495,0.87765,0.01505,0.0,0.00105,0.0,0.0,0.0
10.5,0.02053092770258479,0.19184448194397405,1.000000000000032,48,1.0000000000000002,0,0.0022371050180533514,0.00166154462844687,0.048969940369643805,0.38967802171096455,0.5024164707521664,0.044110530720124976,0.010683765399891323,0.0001123353051580986,2.0537272316078046e-05,0.00010974882326644615,0.0069,0.00625,0.09295,0.8778,0.01505,0.0,0.00105,0.0,0.0,0.0
11.0,0.021004394473744442,0.18794898233709417,1.0000000000000346,62,1.0000000000000002,0,0.0023254515768911486,0.0021358080420270445,0.04492414848541827,0.3915431590827695,0.48932764668563544,0.05676817912651206,0.012724675300886973,0.00011707433822887737,2.4802004110361978e-05,0.00010905535755501797,0.00755,0.00775,0.0903,0.8783,0.015,5e-05,0.00105,0.0,0.0,0.0
11.5,0.021737313326183096,0.18183433064771148,1.0000000000000075,73,1.0000000000000002,0,0.0024421880272609336,0.0026093897982098642,0.039665012566187444,0.3915764228715116,0.4785379122652014,0.0698346263419998,0.015089414098260834,0.00011063310625064069,3.1008451025727005e-05,0.000103392474099282,0.0081,0.00935,0.0871,0.87935,0.01505,5e-05,0.001,0.0,0.0,0.0
12.0,0.02279996931599725,0.17505547663974225,0.9999999999999877,68,1.0000000000000002,0,0.0025860907961112304,0.003049525769527564,0.03388867259076903,0.38768188918574636,0.4722752889163274,0.08246873281803364,0.017820915240594905,9.319654357081136e-05,3.829312281802349e-05,9.739501648864659e-05,0.0087,0.0106,0.0844,0.88025,0.01505,5e-05,0.00095,0.0,0.0,0.0
12.5,0.024204293457013457,0.16824148426657795,0.9999999999999796,52,1.0000000000000002,0,0.0027456525355821202,0.00343017353178364,0.028231936572484823,0.37791555054225445,0.4724985282810355,0.0939890898454877,0.02098011146455093,6.840251351229016e-05,4.626123343891394e-05,9.429347984939661e-05,0.00895,0.01165,0.08215,0.8812,0.0151,5e-05,0.0009,0.0,0.0,0.0
13.0,0.025925079925161968,0.1621806340301437,0.9999999999999807,74,1.0000000000000002,0,0.002900566542625413,0.0037316443441838382,0.023145558984915954,0.3608838570616265,0.4804913964263466,0.10401517559806123,0.0246416323177264,4.1905731352423466e-05,5.451199814414222e-05,9.375099499810407e-05,0.00955,0.01295,0.07935,0.8819,0.01535,5e-05,0.00085,0.0,0.0,0.0
13.5,0.02792409217136417,0.15720530254007004,1.0000000000000016,74,1.0000000000000002,0,0.0030245599911944993,0.00394248549193865,0.01887428903797542,0.3361771748678002,0.4964201289781667,0.1124999909079267,0.028887391895994333,1.964463276383618e-05,6.215771520338632e-05,9.217648103773047e-05,0.00995,0.01465,0.07645,0.88235,0.01565,0.0001,0.00085,0.0,0.0,0.0
14.0,0.030165100592786293,0.15483845383002318,0.9999999999999877,53,1.0000000000000002,0,0.0030805228230479584,0.004047593501402434,0.01569180143997278,0.30455179200726057,0.5187969935276541,0.1198713624548261,0.033801170389638445,5.816978913991012e-06,6.683392584627226e-05,8.611295142502772e-05,0.0105,0.01555,0.07475,0.88235,0.0159,0.00015,0.0008,0.0,0.0,0.0
14.5,0.032612072511042554,0.15166081810990373,0.9999999999999628,72,1.0000000000000002,0,0.0030661586647137444,0.004082086618885117,0.01303395287010594,0.26910650164098543,0.545070994852562,0.12604749554441422,0.03944724316791122,1.9198564842510264e-06,7.052918619599723e-05,7.311759770477069e-05,0.01105,0.0173,0.0721,0.8823,0.0163,0.00015,0.0008,0.0,0.0,0.0
15.0,0.03522979143300022,0.15091554962851186,0.9999999999999493,58,1.0000000000000002,0,0.0029270522676706763,0.004047025866970161,0.011275529942546714,0.23245180457045345,0.5714108280581677,0.13186476755215576,0.045886422701992204,4.968922808544612e-06,7.253365992267077e-05,5.906645726148224e-05,0.01145,0.0189,0.0701,0.8819,0.01665,0.0002,0.0008,0.0,0.0,0.0
15.5,0.03795918009617298,0.15138461917446283,0.9999999999999369,46,1.0000000000000002,0,0.002712033536597695,0.003885034954759604,0.010130104999695829,0.19806376057287506,0.5933662802484391,0.13878136556817966,0.05292907535283657,1.017215342552492e-05,7.571443714299219e-05,4.645817598505336e-05,0.0123,0.0191,0.06905,0.8815,0.01705,0.0002,0.0008,0.0,0.0,0.0
16.0,0.04069964716106402,0.15340100706454385,0.9999999999999282,75,1.0000000000000002,0,0.0024073152485601756,0.003669993931410548,0.009419468714686331,0.1679877543390604,0.6089565848046462,0.14679022720660959,0.06063235018943862,1.4409654179039725e-05,8.212356102759265e-05,3.9772350309594834e-05,0.01395,0.01925,0.0673,0.8812,0.0173,0.0002,0.0008,0.0,0.0,0.0
16.5,0.04333042100083846,0.15646568524005425,0.9999999999999496,106,1.0000000000000002,0,0.002391525461919553,0.0030436097333624147,0.009036550755713761,0.1428629576958427,0.6169212430692768,0.1571461158331754,0.06844710057165783,1.32697219632762e-05,9.474733817983276e-05,4.287981885812364e-05,0.01805,0.01595,0.0665,0.88095,0.0174,0.00035,0.0008,0.0,0.0,0.0
17.0,0.04570289559521444,0.16241375483346743,0.9999999999999216,244,1.0000000000000002,0,0.002823366324333754,0.0021260712726367858,0.008608839880004755,0.12301137192975328,0.6144511408065805,0.17260238902176078,0.07621144703293835,1.3178994018255431e-05,0.00010535835367560214,4.683638421943961e-05,0.02555,0.01195,0.06345,0.88045,0.0173,0.0005,0.0008,0.0,0.0,0.0
17.5,0.04770862343284792,0.1725830424187051,0.9999999999999285,402,1.0000000000000002,0,0.0026638197717256244,0.003084673845880827,0.007161080309717111,0.10726601586988688,0.6018568592731737,0.19454758773383343,0.08324440224045788,1.6568423289625957e-05,0.00010537476557754961,5.3617766385836505e-05,0.02995,0.02125,0.05125,0.87895,0.0171,0.0007,0.0008,0.0,0.0,0.0
18.0,0.04930454014423316,0.1955263577203192,0.9999999999999339,1103,1.0000000000000002,0,0.0021228412364290004,0.009562445520979993,0.0009560159566817569,0.09516490559241483,0.5749974123430912,0.2280566307164718,0.08896384967058654,2.4681479539606842e-05,9.344795993362836e-05,5.7769523805450934e-05,0.03065,0.07195,0.00675,0.872,0.0169,0.00095,0.0008,0.0,0.0,0.0
18.5,0.05050674083731385,0.2340937310575512,0.9999999999999416,344,1.0000000000000002,0,0.0014994629924878476,0.01118919143805683,0.0008245363124217785,0.0855473637034691,0.5277940482942407,0.279937981657347,0.09303342743182477,3.1677715092771654e-05,8.676126551052094e-05,5.554918949009872e-05,0.02985,0.0826,0.00555,0.86335,0.0163,0.00155,0.0008,0.0,0.0,0.0
19.0,0.051445266331713466,0.3167262494519727,0.9999999999999347,908,1.0000000000000002,0,0.0008894801684761884,0.01147164072564041,0.005391914641388205,0.07554430639831891,0.4820486323979931,0.32932517795971883,0.09516225615751493,3.7373897293063225e-05,8.364444398908958e-05,4.5573209601867376e-05,0.0284,0.0859,0.04305,0.824,0.0155,0.00235,0.0008,0.0,0.0,0.0
19.5,0.05229673728392656,0.4721246620432208,0.9999999999999589,2691,1.0000000000000002,0,0.0004403796150674794,0.011068200377730058,0.018403017962969944,0.060294802356013484,0.43862712681233323,0.37536421431833483,0.09563509337881683,4.7661008955588356e-05,8.45062316995077e-05,3.499793803805322e-05,0.02595,0.08845,0.17175,0.69525,0.01485,0.00295,0.0008,0.0,0.0,0.0
20.0,0.05320515905380853,0.5550797390542046,0.9999999999999568,4343,1.0000000000000002,0,0.0002925748186552401,0.01032771934872398,0.038485553985970665,0.04026268446937706,0.4326908165554382,0.38252573070551205,0.09522555945196319,6.651631305576835e-05,9.59562118262186e-05,2.688813943434718e-05,0.02535,0.08815,0.38575,0.4822,0.0148,0.00295,0.0008,0.0,0.0,0.0
20.5,0.05427918259229499,0.5105257712673803,0.9999999999999453,3549,1.0000000000000002,0,0.000460068867034528,0.008764037146714879,0.05635571299169815,0.0249914203178896,0.43382397852036286,0.3804553609685904,0.09494108366590656,8.808946799689897e-05,9.442177694003664e-05,2.5826276811403406e-05,0.0271,0.08545,0.56135,0.30765,0.01475,0.0029,0.0008,0.0,0.0,0.0
21.0,0.05548321139840773,0.453228272925294,0.9999999999999523,2170,1.0000000000000002,0,0.0008545698938982714,0.00688708368681683,0.06877574044599859,0.016691092400342073,0.44929704211033267,0.3607129374171068,0.09654672675168956,0.00010913345250122486,9.349269816432313e-05,3.218114310185395e-05,0.03175,0.08085,0.6649,0.20425,0.0147,0.00275,0.0008,0.0,0.0,0.0
21.5,0.05669638603547528,0.42524577666927654,0.9999999999999616,1199,1.0000000000000002,0,0.0013021133010922205,0.004843334910276363,0.07822861797682082,0.012671995039695828,0.4604936502859855,0.3403872652632144,0.10183067387458354,0.00011788675491937204,8.324464220579323e-05,4.121795116780857e-05,0.038,0.0749,0.71825,0.1508,0.01475,0.0025,0.0008,0.0,0.0,0.0
22.0,0.057724461024641585,0.41848746946092524,0.9999999999999896,790,1.0000000000000002,0,0.0017097505236118723,0.0028381638125555006,0.08659736419922354,0.010526787195085935,0.4672136785909294,0.3182672527323572,0.1126230017696638,0.00011062115131496906,6.684818615404454e-05,4.653183909336159e-05,0.0445,0.06815,0.75105,0.11855,0.01465,0.0023,0.0008,0.0,0.0,0.0
22.5,0.05837843254516413,0.4255451541237109,0.9999999999999724,608,1.0000000000000002,0,0.0020182181804261875,0.0012146738365058885,0.09400423649302833,0.009274071526305569,0.4707751212524598,0.29206069019832204,0.13047067987129624,9.034227695051136e-05,4.8523469278377086e-05,4.34428953995364e-05,0.052,0.0593,0.77365,0.0975,0.0147,0.00205,0.0008,0.0,0.0,0.0
23.0,0.05854472415961116,0.44113352030404984,0.999999999999968,594,1.0000000000000002,0,0.0022020217787701406,0.00021801993818080015,0.10023953723854973,0.008378506229075775,0.47237162371598906,0.260415509552476,0.15604320550491527,6.569056619981508e-05,3.2761744445166773e-05,3.312373136632657e-05,0.06115,0.0465,0.7941,0.08085,0.01465,0.00195,0.0008,0.0,0.0,0.0
23.5,0.05822782159425214,0.4643792373679396,0.9999999999999418,574,1.0000000000000002,0,0.002254579932186081,5.293173385218054e-05,0.10489876459601995,0.007564109320254998,0.47345446005084674,0.22292324110070202,0.188760255043309,4.623795836230205e-05,2.2459849251907712e-05,2.2960415156585535e-05,0.07185,0.0322,0.8113,0.06735,0.0147,0.0018,0.0008,0.0,0.0,0.0
24.0,0.05755031886413772,0.4919100942803665,0.9999999999999194,350,1.0000000000000002,0,0.002181489650118608,0.0008551107112575604,0.10758427827985433,0.006678831451999198,0.4756052453527188,0.18022837877756373,0.2267883395425835,3.7523296597703564e-05,1.7755878661746347e-05,2.304705856438572e-05,0.07335,0.0379,0.8155,0.05595,0.0149,0.0016,0.0008,0.0,0.0,0.0
24.5,0.05671212854363198,0.5211345915360024,0.9999999999999292,438,1.0000000000000002,0,0.0019975930915785635,0.002669832318212534,0.10802675645040154,0.005633349905569216,0.4801172425590274,0.13395196462047984,0.2675073337714441,3.878525916550529e-05,1.6664375828498e-05,4.04776482219097e-05,0.0746,0.0477,0.81645,0.04405,0.01495,0.00145,0.0008,0.0,0.0,0.0
25.0,0.055927345278521653,0.5489914438200616,0.999999999999954,574,1.0000000000000002,0,0.001725833546241707,0.005419635883422493,0.10617436680866571,0.004383431966138233,0.48679401966265734,0.08719492497719705,0.30817137801973116,4.425402682211662e-05,1.7804830572535737e-05,7.435027850582156e-05,0.07405,0.0638,0.8129,0.0321,0.0153,0.00105,0.0008,0.0,0.0,0.0
25.5,0.05536445109365618,0.5719035266843081,0.9999999999999543,693,1.0000000000000002,0,0.0014002206928667362,0.008861200400560659,0.10220205234082991,0.0029873923348187597,0.49209663826712363,0.04587096324769735,0.34639700978754967,4.498685763586977e-05,2.485422332955884e-05,0.0001146818475421666,0.07275,0.0869,0.802,0.02125,0.01585,0.00045,0.0008,0.0,0.0,0.0
26.0,0.05511180310791281,0.5831317494514767,0.9999999999999771,778,1.0000000000000002,0,0.0010791519156790085,0.012567024896171846,0.09606574764433372,0.0020523869833367907,0.4894779254846017,0.018187159815851155,0.38034462414320197,1.4397584658261843e-05,6.485761580481508e-05,0.00014672391633770412,0.0707,0.116,0.78415,0.01215,0.01605,0.00015,0.0008,0.0,0.0,0.0
26.5,0.05518623878607949,0.5829199936961938,1.0000000000000013,982,1.0000000000000002,0,0.0008806848724831949,0.015968057917370986,0.08447449654650771,0.005640307891360134,0.4756608601341258,0.008408037313286912,0.4087159864485618,2.975050087520759e-05,6.338797710092097e-05,0.00015843039832843806,0.06915,0.1502,0.73735,0.02635,0.0161,5e-05,0.0008,0.0,0.0,0.0
27.0,0.055569198757895136,0.6178066402236166,1.0000000000000149,2746,1.0000000000000002,0,0.0010417652520630398,0.018449519453671973,0.057517236179423475,0.024409705898949627,0.4554025948004118,0.0121855651045359,0.4307332950916729,5.053703678818967e-05,6.278557927435123e-05,0.00014699560322376401,0.0712,0.18245,0.6046,0.12485,0.01605,0.0001,0.00075,0.0,0.0,0.0
27.5,0.05624896698094555,0.6697438944798054,1.0000000000000202,3316,1.0000000000000002,0,0.0019078788395070227,0.019543086615947038,0.03325937994103036,0.04077670925182869,0.4360336502007152,0.022079782737128593,0.4461433529541361,6.533501720452662e-05,6.928400014690695e-05,0.0001215404423754376,0.081,0.2107,0.45525,0.23615,0.0158,0.00035,0.00075,0.0,0.0,0.0
28.0,0.05725036451518188,0.6921761939451418,1.000000000000038,2445,1.0000000000000002,0,0.00354576112355298,0.019368392410787017,0.022442082145666266,0.04410724004812393,0.4206835681242788,0.034175324363675125,0.4554331695450767,6.766038696398436e-05,7.761861128468907e-05,9.918324062863558e-05,0.10705,0.2391,0.3677,0.269,0.016,0.0004,0.00075,0.0,0.0,0.0
28.5,0.05868040040170301,0.6958361294135722,1.0000000000000533,2193,1.0000000000000002,0,0.005100126796114907,0.019204949388191523,0.016996295278330072,0.04234201636656799,0.4126998335834358,0.04468604085685749,0.4587423277792585,5.204102139995941e-05,9.19507653740245e-05,8.441816452302818e-05,0.13825,0.2755,0.2989,0.2702,0.016,0.0004,0.00075,0.0,0.0,0.0
29.0,0.0606465525530283,0.6740229961854922,1.0000000000000535,2251,1.0000000000000002,0,0.005803837739823224,0.020355254631490346,0.013467761046809685,0.0386716953333823,0.407946269730228,0.055930321168469445,0.45761535998194475,3.244762075469066e-05,9.757974758965699e-05,7.947299956178314e-05,0.1637,0.33535,0.22315,0.2606,0.01605,0.0004,0.00075,0.0,0.0,0.0
29.5,0.06320934825228615,0.6281640116169829,1.00000000000003,1913,1.0000000000000002,0,0.005656262483615589,0.022276553502727697,0.010953970906652287,0.034415789643510684,0.40718484396799376,0.06598602395949625,0.4533283076954874,1.9002442818872915e-05,0.00010587689104925883,7.336850667829994e-05,0.17515,0.4021,0.1615,0.24365,0.0163,0.00055,0.00075,0.0,0.0,0.0
30.0,0.06630001296097592,0.5796743732481742,1.000000000000015,1448,1.0000000000000002,0,0.004703885373818714,0.02371450833780612,0.009779869721971639,0.03049253331536956,0.4090707698191789,0.07400899786202107,0.4480278677751692,2.416632920899801e-05,0.00011175740636320508,6.56440591078349e-05,0.17535,0.4528,0.12755,0.22635,0.0166,0.0006,0.00075,0.0,0.0,0.0
