frame,time_fs,epsilon_d_eV,epsilon_a_eV,gap_eV,coupling_real_eV,coupling_imag_eV,coupling_abs_eV,donor_c60_population,acceptor_c60_population,donor_transport_overlap,acceptor_transport_overlap,donor_residual_eV,acceptor_residual_eV,donor_back_residual_eV
0,0.0,-3.5926878912555082,-3.097824583490607,0.4948633077649011,0.02555053725907832,0.0,0.02555053725907832,0.0008533008353529367,0.9839517825057673,1.0,1.0,0.015487277979820586,0.49736505327236796,0.07909118573582138
1,0.5,-3.5873683422255316,-3.100052005765775,0.4873163364597567,0.02558272602786694,0.0,0.02558272602786694,0.0008537736824305125,0.9837546707343883,0.9999999910432761,0.9998645274169036,0.018622034585755315,0.4933929338755899,0.08044608916478137
2,1.0,-3.5809744855914847,-3.102856547846448,0.4781179377450366,0.025526694442240847,0.0,0.025526694442240847,0.0008533482837898056,0.9835626741929908,0.9999999865132694,0.9998667783320092,0.02555573978975575,0.48945457853184265,0.08203514277102801
3,1.5,-3.573594629047278,-3.1067029657697938,0.4668916632774843,0.02546202292386337,0.0,0.02546202292386337,0.0008530232714649231,0.9833765199565132,0.9999999847352176,0.9998797527598876,0.033908263138984124,0.4856243771464019,0.08378332892603024
4,2.0,-3.5653612381235558,-3.1110596129246977,0.4543016251988579,0.02536349305337151,0.0,0.02536349305337151,0.0008522033030690676,0.9832033491988006,0.9999999816316394,0.9998899751920185,0.04265680514194956,0.4819020968414683,0.08567251799795726
5,2.5,-3.5564252815735498,-3.115508399131385,0.44091688244216454,0.025223773002301105,0.0,0.025223773002301105,0.000850560445457415,0.9830478639400383,0.9999999786283242,0.9999000830291819,0.05142315415864533,0.4783314396403649,0.08766047545091601
6,3.0,-3.5469107466832597,-3.119621441194142,0.42728930548911764,0.025040196704274837,0.0,0.025040196704274837,0.0008478737042427638,0.9829143788077902,0.9999999760032836,0.9999094607491517,0.060001343075723725,0.47492879046182873,0.08970701459877281
7,3.5,-3.5370555939009045,-3.123081090260163,0.4139745036407417,0.024811086483318496,0.0,0.024811086483318496,0.0008439933531184367,0.9828079534427825,0.9999999740331009,0.999918610074753,0.06827795624287017,0.47170123389498336,0.09175321394431565
8,4.0,-3.526989668610919,-3.1255744772480067,0.4014151913629122,0.024536921362235974,0.0,0.024536921362235974,0.0008388651511122723,0.9827316076213973,0.9999999727797002,0.9999272224251948,0.07616475735820179,0.4686554239578855,0.09374638636937783
9,4.5,-3.516948937304098,-3.126937240360698,0.39001169694340004,0.024216822820558873,0.0,0.024216822820558873,0.0008325115076768758,0.982689221305907,0.9999999722068353,0.9999356059389889,0.08361499902283615,0.4658000419530236,0.09561654446444202
