time          Epot                 Ekin                 Etot                 T
    0.00  -5.616788103865E+03  2.566069600446E-01  -5.616531496905E+03 306.9322
   20.67  -5.616788592716E+03  2.563065781973E-01  -5.616532286138E+03 306.5729
   41.34  -5.616785412597E+03  2.524822440187E-01  -5.616532930353E+03 301.9985
   62.01  -5.616780044097E+03  2.467397986629E-01  -5.616533304298E+03 295.1299
   82.68  -5.616774330947E+03  2.409464750744E-01  -5.616533384472E+03 288.2004
  103.35  -5.616769710123E+03  2.364856831310E-01  -5.616533224440E+03 282.8648
  124.02  -5.616766627939E+03  2.337244614167E-01  -5.616532903478E+03 279.5620
  144.69  -5.616764477159E+03  2.320139117490E-01  -5.616532463247E+03 277.5160
  165.37  -5.616762035160E+03  2.301615639804E-01  -5.616531873596E+03 275.3004
  186.04  -5.616758130836E+03  2.270663316675E-01  -5.616531064504E+03 271.5981
  206.71  -5.616752102264E+03  2.221852801626E-01  -5.616529916984E+03 265.7598
  227.38  -5.616744000118E+03  2.156793254944E-01  -5.616528320792E+03 257.9779
  248.05  -5.616734579962E+03  2.083507778112E-01  -5.616526229184E+03 249.2121
  268.72  -5.616725158728E+03  2.014680876225E-01  -5.616523690640E+03 240.9796
  289.39  -5.616717337731E+03  1.964929327257E-01  -5.616520844798E+03 235.0287
  310.06  -5.616712577480E+03  1.946850127448E-01  -5.616517892467E+03 232.8662
  330.73  -5.616711734995E+03  1.966880498962E-01  -5.616515046946E+03 235.2621
  351.40  -5.616714694003E+03  2.022370522697E-01  -5.616512456950E+03 241.8994
  372.07  -5.616720379041E+03  2.101714347887E-01  -5.616510207606E+03 251.3898
  392.74  -5.616727113631E+03  2.188093663401E-01  -5.616508304264E+03 261.7218
  413.41  -5.616733164113E+03  2.264649699187E-01  -5.616506699143E+03 270.8788
  434.08  -5.616737327854E+03  2.319844119689E-01  -5.616505343442E+03 277.4807
  454.76  -5.616739231373E+03  2.350735574222E-01  -5.616504157816E+03 281.1757
  475.43  -5.616739451208E+03  2.363463479413E-01  -5.616503104860E+03 282.6981
  496.10  -5.616739227868E+03  2.370783059569E-01  -5.616502149562E+03 283.5736
  516.77  -5.616739941463E+03  2.386358984868E-01  -5.616501305564E+03 285.4367
  537.44  -5.616742469850E+03  2.418420682652E-01  -5.616500627782E+03 289.2716
  558.11  -5.616746733144E+03  2.465595648889E-01  -5.616500173579E+03 294.9143
  578.78  -5.616751709035E+03  2.517480465553E-01  -5.616499960988E+03 301.1203
  599.45  -5.616755911013E+03  2.559634675763E-01  -5.616499947545E+03 306.1625
  620.12  -5.616757992082E+03  2.579578588783E-01  -5.616500034223E+03 308.5480
  640.79  -5.616757189954E+03  2.570876023379E-01  -5.616500102352E+03 307.5071
  661.46  -5.616753479499E+03  2.534462336482E-01  -5.616500033265E+03 303.1516
  682.13  -5.616747525984E+03  2.477718171967E-01  -5.616499754166E+03 296.3643
  702.80  -5.616740479615E+03  2.412257718856E-01  -5.616499253843E+03 288.5345
  723.47  -5.616733639981E+03  2.350657523190E-01  -5.616498574229E+03 281.1664
  744.14  -5.616728085453E+03  2.303041770229E-01  -5.616497781276E+03 275.4710
  764.82  -5.616724341350E+03  2.274259452015E-01  -5.616496915405E+03 272.0282
  785.49  -5.616722286197E+03  2.262821090974E-01  -5.616496004088E+03 270.6601
  806.16  -5.616721271966E+03  2.262149301526E-01  -5.616495057036E+03 270.5797
  826.83  -5.616720385721E+03  2.263088180704E-01  -5.616494076903E+03 270.6920
  847.50  -5.616718766446E+03  2.256993003443E-01  -5.616493067146E+03 269.9630
  868.17  -5.616715862124E+03  2.238371463677E-01  -5.616492024978E+03 267.7356
  888.84  -5.616711673726E+03  2.207251381172E-01  -5.616490948588E+03 264.0133
  909.51  -5.616706780381E+03  2.170021342121E-01  -5.616489778247E+03 259.5601
  930.18  -5.616702322387E+03  2.138322540816E-01  -5.616488490133E+03 255.7686
  950.85  -5.616699615390E+03  2.125464691498E-01  -5.616487068921E+03 254.2306
  971.52  -5.616699663904E+03  2.140747004973E-01  -5.616485589204E+03 256.0586
  992.19  -5.616702585854E+03  2.184642797137E-01  -5.616484121574E+03 261.3090
 1012.86  -5.616707535098E+03  2.247769710626E-01  -5.616482758127E+03 268.8598
 1033.53  -5.616713088977E+03  2.315369853388E-01  -5.616481551992E+03 276.9455
 1054.21  -5.616717909132E+03  2.373841970398E-01  -5.616480524935E+03 283.9395
 1074.88  -5.616721253334E+03  2.415755531293E-01  -5.616479677781E+03 288.9528
 1095.55  -5.616723118722E+03  2.441156540758E-01  -5.616479003068E+03 291.9911
 1116.22  -5.616724033587E+03  2.455374448365E-01  -5.616478496142E+03 293.6917
