frame,time_fs,epsilon_d_eV,epsilon_a_eV,gap_eV,coupling_real_eV,coupling_imag_eV,coupling_abs_eV,donor_c60_population,acceptor_c60_population,donor_transport_overlap,acceptor_transport_overlap,donor_residual_eV,acceptor_residual_eV,donor_back_residual_eV
0,0.0,-3.5333727254305765,-3.1264489860971496,0.4069237393334266,0.03386009940480301,0.0,0.03386009940480301,0.0016600387397903097,0.9815953782134818,1.0,1.0,0.018394776811849572,0.4507189964866212,0.08082889582534525
1,0.5,-3.534869448333141,-3.144043163852971,0.3908262844801694,0.03320645075224435,0.0,0.03320645075224435,0.0016231484721660745,0.9816970395902802,0.9999999736531243,0.9998808974334634,0.022102604506435107,0.4487327164159436,0.0817538448638803
2,1.0,-3.537420328251901,-3.161898245381283,0.3755220828706176,0.032568018674619045,0.0,0.032568018674619045,0.001588270833120367,0.9817966193927834,0.9999999815317903,0.9998579027115152,0.025850764355477403,0.44711945318689195,0.0827782497845903
3,1.5,-3.539322733287953,-3.1780434841794563,0.3612792491084966,0.03195485028670608,0.0,0.03195485028670608,0.0015544948619830164,0.9818851108808894,0.9999999863880561,0.9998023196026063,0.0295754483215036,0.44634834791540867,0.08397737135010007
4,2.0,-3.542213023837376,-3.194213084769497,0.3479999390678787,0.03137869894834667,0.0,0.03137869894834667,0.0015234667511837927,0.9819666990450131,0.9999999910520647,0.9997822506061886,0.03350362217908475,0.4460653844961788,0.08518512399589095
5,2.5,-3.5445331788348606,-3.20870024187142,0.3358329369634406,0.030868398973931732,0.0,0.030868398973931732,0.0014948051905863471,0.9820378837815966,0.99999999409207,0.9997475513117225,0.03763492295223783,0.44661939481227547,0.08640276781739856
6,3.0,-3.54671032682939,-3.2217368261141734,0.32497350071521625,0.030439335303961604,0.0,0.030439335303961604,0.0014690807697300661,0.9821014557602978,0.9999999962645078,0.9997317850674713,0.042079225612074285,0.44793776179628725,0.0875182862184873
7,3.5,-3.54872902864838,-3.2333064743683146,0.31542255428006544,0.030076895343526595,0.0,0.030076895343526595,0.0014463931116757182,0.9821574380400613,0.999999996707064,0.9997084638760727,0.046811180198068514,0.45006610078323195,0.08862652467037047
8,4.0,-3.5503373293531992,-3.243170273326673,0.3071670560265262,0.029795800904799358,0.0,0.029795800904799358,0.0014270882765514497,0.9822063754109064,0.9999999967094648,0.999695427998026,0.0518211633206431,0.452941275525066,0.08967495496580828
9,4.5,-3.551164521978688,-3.2510627073423097,0.3001018146363784,0.029601441947627694,0.0,0.029601441947627694,0.0014114987779046144,0.9822472775896407,0.9999999960560345,0.9996918749988922,0.056989114330289935,0.45646932126820644,0.09067458601755818
