model,mean_initial_capture,minimum_instantaneous_capture,mean_instantaneous_capture,minimum_dynamic_singular_value,mean_final_lossy_norm,full_final_mean,closed_final_mean,final_mean_error,ensemble_rmse,mean_path_rmse,maximum_path_error
1D3A,0.9937697022587667,0.055722846179203214,0.4578539257372918,0.8409101278026782,0.6464018236725051,0.2797852840360925,0.6111804323073907,0.33139514827129823,0.2328123692191452,0.2579071796031854,0.8623088612753537
2D3A,0.998072029350307,0.10821944554765511,0.632669728712758,0.7068955908405343,0.5485112969837235,0.2797852840360925,0.45669666031898065,0.17691137628288817,0.10769544753594759,0.15964707619096483,0.7368586341532406
2D6A,0.9980748048905983,0.11139535944678461,0.6387894499099228,0.7071577943979636,0.6247312982492652,0.2797852840360925,0.48193388005365695,0.20214859601756446,0.12036183505454365,0.1647533466532492,0.7439248207397802
4D3A,0.9999972244597085,0.9646737102655314,0.9938802788028345,0.9954595261361432,0.8156236876160957,0.2797852840360925,0.2482495525938467,-0.03153573144224578,0.017004386469918517,0.023897437658721286,0.13501547193092533
4D6A,0.9999999999999998,0.9999999999999933,0.9999999999999993,0.9999999999999976,1.0000000000000921,0.2797852840360925,0.27978528403609293,4.440892098500626e-16,7.734674714722743e-16,2.4408716374824307e-15,1.0880185641326534e-14
