time_fs,se_c60_population,active_surface_c60_diagonal,norm,interval_hops_before_frame,interval_max_raw_probability_sum,interval_renormalized_probability_vectors,se_state_0,se_state_1,se_state_2,se_state_3,se_state_4,se_state_5,se_state_6,se_state_7,se_state_8,se_state_9,sh_state_0,sh_state_1,sh_state_2,sh_state_3,sh_state_4,sh_state_5,sh_state_6,sh_state_7,sh_state_8,sh_state_9
0.0,0.0011583917440811107,0.11814904880519385,1.0000000000000002,0,0.0,0,0.0006765253210537671,0.04506730542019302,0.015059478485422953,0.9298313986259727,0.007331941409931577,0.000724950147563253,0.0010988326400814502,8.627974989604295e-07,0.0001633493710963745,4.535578118598017e-05,0.00065,0.0461,0.01395,0.9299,0.0071,0.001,0.00105,0.0,0.00015,0.0001
0.5,0.0014328984904379615,0.13199986271244715,0.9999999999999916,512,1.0000000000000002,0,0.0005417014821093956,0.03988404619528897,0.02871920702015772,0.9264224235085138,0.0026581234485563206,0.00047476635173055294,0.0010748132587667441,2.3898042019924802e-06,0.00016205611384705236,6.047281681900734e-05,0.0006,0.04035,0.02775,0.92715,0.0026,0.00025,0.00095,0.0,0.0002,0.00015
1.0,0.002184574559561687,0.14854822815900878,1.000000000000015,649,1.0000000000000002,0,0.00042791999318030153,0.03155315312472465,0.04714114622114076,0.914504075989758,0.00027249600467390064,0.004709280260466423,0.0011551569988935244,4.240223295702199e-06,0.00015252268992314115,8.000849395897589e-05,0.0004,0.0312,0.04765,0.91375,0.00035,0.0051,0.00105,0.0,0.00025,0.00025
1.5,0.0033136685720475158,0.17037621301541928,0.9999999999999922,775,1.0000000000000002,0,0.0003424847680137167,0.022730922053295962,0.07006697733582962,0.8917151574106873,0.0005743911481836047,0.013039345330161557,0.0012918934450196064,5.6814450153977005e-06,0.00012811646538860637,0.0001050305983971142,0.00025,0.0224,0.071,0.89055,0.0006,0.0135,0.00115,0.0,0.0003,0.00025
2.0,0.004686246244066822,0.19589930062297348,0.9999999999999836,874,1.0000000000000002,0,0.0002963605442782437,0.016098848121103727,0.09375997633566334,0.8614586820750082,0.0023153100231782225,0.024340512074489642,0.0015019632586319594,5.145230939918611e-06,9.525177980027649e-05,0.0001279505568898777,0.00045,0.01595,0.09515,0.8593,0.00225,0.02515,0.0013,5e-05,0.0003,0.0001
2.5,0.006202151763597915,0.2149834877563278,0.9999999999999543,849,1.0000000000000002,0,0.00027484580635963424,0.01079450685885988,0.11313861849333878,0.8312867735097531,0.004278751222271466,0.03836077820621623,0.0016566219945753481,3.821028305308701e-06,6.035907336428136e-05,0.00014492380691009862,0.00035,0.01085,0.11495,0.8282,0.0035,0.04035,0.0014,0.0,0.0003,0.0001
3.0,0.007845901009016696,0.2420252062024284,0.9999999999999413,935,1.0000000000000002,0,0.00030627551857318077,0.007587752742969094,0.1360773217684923,0.7962189661758319,0.005094456467973674,0.052786974297733415,0.0017379834094536837,1.9910794506722855e-06,3.9165691739169765e-05,0.00014911284772395458,0.00035,0.00755,0.13935,0.79105,0.00435,0.05545,0.00145,0.0,0.00025,0.0002
3.5,0.009691564181911128,0.2513539427093413,0.9999999999999366,596,1.0000000000000002,0,0.00042173954783697947,0.005059618773369854,0.14676500895852335,0.7739394777810528,0.004959819024323309,0.06697195308256561,0.0017014023202806042,8.144504896242875e-07,3.0178279147246786e-05,0.0001499877823472694,0.0003,0.00545,0.1501,0.76945,0.004,0.06895,0.00135,0.0,0.0001,0.0003
4.0,0.011858410365387017,0.2537179520552428,0.9999999999999052,394,1.0000000000000002,0,0.00024647717926268477,0.0037136441499031193,0.15128465875636288,0.7603222700286912,0.0038822558122708385,0.07884279942371077,0.001523029196338636,4.5700219920113106e-07,2.9906765373328004e-05,0.00015450168579230416,0.0004,0.00375,0.15495,0.7553,0.00375,0.0802,0.0012,0.0,5e-05,0.0004
4.5,0.014459585906021089,0.2432147725503778,0.9999999999998892,389,1.0000000000000002,0,0.0004795112781119237,0.0025388539756029294,0.14569354887474611,0.7597856909070966,0.0024489680128914914,0.08763613034766018,0.0012186986733566949,1.4391134414457437e-06,3.251340870443486e-05,0.0001646454082770713,0.00035,0.00305,0.14895,0.7544,0.0024,0.0896,0.00085,0.0,0.0,0.0004
5.0,0.01751532610722926,0.2208133188833578,0.9999999999998981,479,1.0000000000000002,0,0.0008987094949261835,0.001727250523806845,0.1309442259270359,0.7711796877683745,0.0011381875188160172,0.09306322774380248,0.0008351694235270764,4.200509925456899e-06,3.317363806729709e-05,0.00017616745161663119,0.0008,0.00175,0.13425,0.76715,0.001,0.09405,0.0006,0.0,0.0,0.0004
5.5,0.020944100508199434,0.1890169962462381,0.9999999999998903,556,1.0000000000000002,0,0.001848077615787006,0.0011707356650447881,0.110692366290221,0.789959836670509,0.000307759228826784,0.09534328501974902,0.00045617754087534776,8.379260912462837e-06,2.9073778769784016e-05,0.00018430892919511175,0.0019,0.0011,0.11165,0.7882,0.00035,0.096,0.0004,5e-05,0.0,0.00035
6.0,0.024576479535859615,0.15540447502506202,0.999999999999917,536,1.0000000000000002,0,0.003969397276191858,0.000784294902556449,0.0886410403525272,0.8108447441419294,0.00023073661421354113,0.09510308976657873,0.00020599461138929464,1.2535397763487395e-05,2.0671475083878232e-05,0.00018749546168311072,0.0044,0.00075,0.08795,0.8106,0.0,0.0957,0.0002,0.0001,0.0,0.0003
6.5,0.028216269228206445,0.12403514407874332,0.9999999999999349,509,1.0000000000000002,0,0.007852852647716008,0.000518626261016893,0.06712263831089307,0.8296075145671885,0.001138321732240366,0.09329660310960992,0.0002492521742430146,1.4797849671535335e-05,1.1471228524228048e-05,0.00018792211883145795,0.0076,0.0005,0.06605,0.83075,0.0005,0.09415,0.00015,5e-05,0.0,0.00025
7.0,0.031712228020735145,0.09855913291516404,0.9999999999999447,501,1.0000000000000002,0,0.013018657336527342,0.0003483526433284402,0.04787109112385965,0.8433388581011031,0.0032345755045716006,0.09119639398539058,0.0007829730146963588,1.4032588571952283e-05,4.151154835711066e-06,0.0001909145470601119,0.01345,0.00035,0.0455,0.84525,0.0024,0.0923,0.00045,0.0,0.0,0.0003
7.5,0.03500972616312015,0.08196641200271462,0.9999999999999561,416,1.0000000000000002,0,0.01773746148899785,0.00026373468449405476,0.032719062818065095,0.8499380538376237,0.006665580034626996,0.09045157740760192,0.00201371931169911,1.0759680764760854e-05,1.9431009635351894e-05,0.00018061972644749707,0.01805,0.00035,0.0319,0.8496,0.00595,0.09195,0.0019,0.0,0.0,0.0003
8.0,0.038155020180492084,0.07092320188884162,0.9999999999999609,449,1.0000000000000002,0,0.020692496527267085,0.0002627119585985595,0.02254554437555518,0.8474077943852768,0.011340238346668512,0.09338475006000861,0.00415235714442842,7.313465669895207e-06,2.4775092851827005e-05,0.00018201864363594686,0.02065,0.00035,0.022,0.84795,0.01035,0.09465,0.00375,0.0,0.0,0.0003
8.5,0.0412562936189104,0.06529792123369736,0.9999999999999667,646,1.0000000000000002,0,0.02241882715231133,0.0003472866659338377,0.015887275965249314,0.834768964154041,0.018005299404711076,0.10119690236237502,0.007152533930824796,7.345670372383489e-06,3.669698694589952e-05,0.00017886770720213356,0.02205,0.00045,0.0152,0.83405,0.01675,0.10405,0.0071,0.0,5e-05,0.0003
9.0,0.044419486591468486,0.06497669633220048,0.9999999999999857,869,1.0000000000000002,0,0.023093207293087538,0.0005105321914464324,0.012115965184413246,0.8094536904540289,0.02856584657043796,0.11500417951254222,0.011033729504474671,1.632662701275947e-05,4.272713537797359e-05,0.0001637955271636536,0.0231,0.00055,0.0111,0.80945,0.02735,0.1172,0.01085,5e-05,5e-05,0.0003
9.5,0.04773218493774651,0.06782912955275125,0.9999999999999742,1265,1.0000000000000002,0,0.023310700286820658,0.0007651116408180704,0.009918462740484663,0.7693883918123398,0.04896246641506605,0.1319711928855579,0.015471146775879515,3.9693482621842014e-05,4.107620497363589e-05,0.00013175775541230205,0.0233,0.00065,0.009,0.76795,0.04855,0.1341,0.0161,5e-05,5e-05,0.00025
10.0,0.05123574243765774,0.0713399054936327,0.9999999999999716,1591,1.0000000000000002,0,0.023199558949188504,0.0011154309794505692,0.008708723894316173,0.713210019699338,0.08555621222598371,0.14813527097068008,0.019881192453486345,7.478973867340976e-05,3.077146291040989e-05,8.802962594434626e-05,0.02305,0.0011,0.00785,0.71275,0.0844,0.1501,0.0204,0.0001,5e-05,0.0002
