time          Epot                 Ekin                 Etot                 T
    0.00  -5.616739794247E+03  2.392377014648E-01  -5.616500556546E+03 286.1565
   20.67  -5.616740248127E+03  2.397093181014E-01  -5.616500538809E+03 286.7206
   41.34  -5.616740141970E+03  2.397932376351E-01  -5.616500348732E+03 286.8210
   62.01  -5.616739064248E+03  2.390620958270E-01  -5.616500002152E+03 285.9465
   82.68  -5.616736517838E+03  2.369649765802E-01  -5.616499552861E+03 283.4381
  103.35  -5.616732542310E+03  2.334357833372E-01  -5.616499106526E+03 279.2167
  124.02  -5.616727935582E+03  2.291824252180E-01  -5.616498753157E+03 274.1292
  144.69  -5.616723999302E+03  2.254047992791E-01  -5.616498594503E+03 269.6107
  165.37  -5.616721742444E+03  2.231098260990E-01  -5.616498632618E+03 266.8657
  186.04  -5.616721341949E+03  2.225168509616E-01  -5.616498825098E+03 266.1564
  206.71  -5.616722127847E+03  2.230630183140E-01  -5.616499064829E+03 266.8097
  227.38  -5.616723138098E+03  2.238930167775E-01  -5.616499245081E+03 267.8024
  248.05  -5.616723784516E+03  2.244654698049E-01  -5.616499319046E+03 268.4872
  268.72  -5.616724209669E+03  2.248856537846E-01  -5.616499324016E+03 268.9898
  289.39  -5.616725159243E+03  2.258017909509E-01  -5.616499357452E+03 270.0856
  310.06  -5.616727456521E+03  2.279340433841E-01  -5.616499522477E+03 272.6360
  330.73  -5.616731380850E+03  2.315028671660E-01  -5.616499877983E+03 276.9047
  351.40  -5.616736408396E+03  2.359914146714E-01  -5.616500416982E+03 282.2736
  372.07  -5.616741382527E+03  2.403619310473E-01  -5.616501020596E+03 287.5012
  392.74  -5.616745203557E+03  2.436250835060E-01  -5.616501578473E+03 291.4043
  413.41  -5.616747342609E+03  2.453724193797E-01  -5.616501970190E+03 293.4943
  434.08  -5.616747938658E+03  2.458132136098E-01  -5.616502125444E+03 294.0216
  454.76  -5.616747490515E+03  2.454276565484E-01  -5.616502062858E+03 293.5604
  475.43  -5.616746358856E+03  2.445217536632E-01  -5.616501837102E+03 292.4768
