frequency_cm_inverse,mode_1_psd_hartree2_fs,mode_2_psd_hartree2_fs,mode_3_psd_hartree2_fs,mode_4_psd_hartree2_fs,mode_5_psd_hartree2_fs,mode_6_psd_hartree2_fs,mode_7_psd_hartree2_fs,mode_8_psd_hartree2_fs,mode_9_psd_hartree2_fs,mode_10_psd_hartree2_fs,mode_11_psd_hartree2_fs,mode_12_psd_hartree2_fs,mode_13_psd_hartree2_fs,mode_14_psd_hartree2_fs,mode_15_psd_hartree2_fs,mode_16_psd_hartree2_fs,mode_17_psd_hartree2_fs,mode_18_psd_hartree2_fs
0.0,2.6165212642421694e-05,2.6973490890783105e-05,1.8548535890858198e-05,6.116927833768047e-06,6.674556296181551e-06,5.264120504241479e-06,4.24360516204535e-06,5.538394475681738e-06,1.0390712465693488e-05,6.282187812286792e-06,3.1875860556745225e-06,8.389736815246124e-06,3.645786568323662e-06,1.1435223314204698e-05,4.816153786179421e-06,5.736351259607881e-07,4.720415380053669e-07,6.632279111488641e-07
335.2402966815599,0.0001229455569438889,0.00014625737170870175,5.880766963796688e-05,2.8045438771380347e-05,8.06114460326296e-05,1.7017083200389757e-05,2.8708875100666214e-05,4.9790137755156284e-05,5.1794680117409865e-05,2.1889689986048535e-05,3.5341791204635174e-05,2.8102998664315143e-05,2.17985894898977e-05,3.188623402611969e-05,1.7458986793931942e-05,9.605896119245608e-06,7.635748770132039e-06,4.243304125217147e-06
670.4805933631199,0.00024043340535229683,0.00013609290104946037,5.438358104665748e-05,5.4268357970565357e-05,9.288907554052266e-05,2.7358892932999417e-05,5.32281839403714e-05,7.494352038975973e-05,6.705598486939879e-05,3.6624141728544794e-05,4.367420216505614e-05,2.6090790907631033e-05,2.6891474847924833e-05,2.6133292079914557e-05,2.1385157098520102e-05,3.089431238096347e-06,6.099454226819212e-06,3.2787644733702106e-06
1005.7208900446798,0.00015046153007260715,0.00010560548700051537,0.00011415955693494769,0.0001262486049520012,0.00011195488542533134,4.35502984537431e-05,5.6868431592904744e-05,5.6059174155790876e-05,8.571448793978497e-05,4.763023673815504e-05,3.893170552390338e-05,4.9870568176105145e-05,4.51629580163723e-05,2.072268012376731e-05,2.3682643118098927e-05,2.3915877913178444e-06,3.3982062999150603e-06,2.8091518169690407e-06
1340.9611867262397,0.0002552109967372323,0.0002406539923630343,0.00028083123009263515,0.00015295444636212273,0.00011397687282788532,0.00018828819686866037,6.869566413331008e-05,5.7739867258863334e-05,7.801984315290424e-05,5.838296971187001e-05,5.31603080584422e-05,5.922405405774668e-05,3.025932392648033e-05,2.075872644762383e-05,3.312939471317747e-05,2.6876965797594337e-06,5.551874054958141e-06,1.9028919795531882e-06
1676.2014834077997,0.00023342385888266477,0.0001743434846014988,0.0001727224016603351,0.00011702875156460058,5.086803541058772e-05,0.0001382875157425348,5.916664006845086e-05,5.532590899821548e-05,4.815431212995567e-05,5.466415979591733e-05,2.8841628780905514e-05,2.1859050741699124e-05,1.3273852495426002e-05,1.3454071381357775e-05,1.6035976691912342e-05,1.6172849752735662e-06,3.2211580592288283e-06,9.621551850473134e-07
2011.4417800893596,1.1696406235600439e-05,1.0493078565576287e-05,9.598511150543047e-06,7.380472682563908e-06,3.3533536223646202e-06,8.453306707394791e-06,5.579209407198918e-06,6.937121484370284e-06,4.123982269557031e-06,5.370919685623703e-06,2.337551754854043e-06,2.11189284231254e-06,1.6273996286981402e-06,1.7897601433587627e-06,1.0499536108944394e-06,1.5238213753565055e-07,2.3490446860544565e-07,2.0131385321050685e-07
2346.6820767709196,1.375967491076213e-06,9.432491543875924e-07,4.16476376696769e-07,5.754628747157483e-07,4.999497203461884e-07,4.5210260296265484e-07,8.361923100022814e-07,4.836790132591883e-07,7.982577465290747e-07,3.5429049400402597e-07,1.7754753828665113e-07,4.101465489763465e-07,2.7133249396803184e-07,3.804327256620627e-07,3.343564207872612e-07,3.345629654940077e-08,4.403883729292908e-08,5.1659666029325723e-08
2681.9223734524794,7.507431522636821e-07,3.560085092147552e-07,4.257586360122461e-07,4.058430080757199e-07,4.675232400503662e-07,4.4745103241843617e-07,3.183210694829752e-07,1.8217422396079685e-07,6.564221130410614e-07,2.8462462420872407e-07,1.5180358469444107e-07,1.8458605158417365e-07,1.3588989748792187e-07,8.998570506953682e-08,1.4651649501475786e-07,2.4227222116641758e-08,3.390881114683039e-08,1.3256699152652338e-08
3017.1626701340397,3.8211739739682987e-07,2.828104266644378e-07,3.523869830449751e-07,1.9210699986385434e-07,3.296654461366115e-07,2.810270565524705e-07,1.7826112282325107e-07,1.9894247088090314e-07,5.081979411202156e-07,8.184540265478755e-08,2.1423793438241993e-07,1.7633797296727897e-07,1.1725755700412027e-07,8.910839939789476e-08,5.388196143155456e-08,1.204600332438783e-08,9.502444645738087e-09,1.6974882812606382e-08
3352.4029668155995,2.0897388192801196e-07,2.0153743035125385e-07,1.1620272037115887e-07,7.451804288271298e-08,1.008838831873383e-07,1.6851825233393833e-07,8.290600834709162e-08,7.894289421633306e-08,7.026046944151364e-08,6.186391500518919e-08,7.133237302447685e-08,1.0364610179215036e-07,8.877515335947341e-08,4.247503696270638e-08,3.4985306870701824e-08,2.5310868817754373e-09,6.544597555111821e-09,8.96007938110533e-09
3687.6432634971593,4.6216158988470706e-08,2.9306347282764313e-08,1.5713238973660488e-08,2.629183453211977e-08,1.9538397128457232e-08,5.334787636052776e-08,2.1501008887440916e-08,2.733018067773669e-08,6.960787351200723e-09,1.555398918779616e-08,1.3026664357213861e-08,2.723701151990357e-08,1.7741055120350217e-08,1.2529630841623509e-08,1.3391608433941817e-08,1.3370403744219487e-09,1.5460109208592271e-09,1.8916782791651953e-09
4022.883560178719,1.021024046845214e-08,8.63805551401528e-09,4.872577610856266e-09,4.785432404852197e-09,2.9888490770350883e-09,3.6948548870625274e-09,4.308329826192384e-09,4.534280165330585e-09,2.722033142418286e-09,1.495014929715119e-09,3.1414480477559545e-09,1.993210664874699e-09,1.0582920306435929e-09,3.100122191178912e-09,1.791174394598683e-09,2.916628934125589e-10,1.477606923259811e-10,2.6272774682500907e-10
4358.123856860279,5.911284954066406e-09,3.8253148811174e-09,2.650356544015901e-09,8.768660601471268e-10,2.0413724678400544e-09,1.9618348069942363e-09,2.722667454582809e-09,1.883793465931272e-09,1.2347096979154183e-09,1.3889281565660651e-09,2.6943324439096173e-09,1.1101697466983926e-09,1.572364288745225e-09,8.552160855004779e-10,9.63732548406225e-10,8.348962721194677e-11,1.2386398067045263e-10,1.808435144055401e-10
4693.364153541839,7.869225922472448e-10,1.3060788320424682e-09,1.2092783749575943e-09,1.4412283506085203e-09,1.417049711074908e-09,1.7321176514372874e-09,1.92455734580461e-09,1.3460894813478745e-09,7.607532489131609e-10,9.007632179925576e-10,1.9502442928807842e-09,1.8085955350393513e-09,1.2847734270211637e-09,1.0690056277527314e-09,5.608898167682248e-10,6.909827417780675e-11,7.401914118048322e-11,1.0287782281515814e-10
5028.6044502234,1.0300853217878216e-09,8.253468141578568e-10,4.48805793763628e-10,1.2722552107842754e-09,1.2098627948500451e-09,9.995259515818056e-10,1.1742867086813297e-09,9.858163781322847e-10,4.946850966593166e-10,3.395362904344363e-10,1.2572617499403332e-09,1.141170715338526e-09,7.194749855684294e-10,1.0209908266747192e-09,4.4406120606109846e-10,6.045637054769391e-11,1.0471059481100833e-10,3.069419521801945e-11
5363.844746904959,4.396772085654552e-10,2.0073442266790918e-10,1.350631108468879e-10,4.1051532741886895e-10,1.447625725883748e-10,5.612627671138012e-11,1.572177849220379e-10,2.2616333890678392e-10,1.4379417082681403e-10,5.42457387699626e-11,1.1751014303062432e-10,1.3171557487139828e-10,1.7109962330375905e-10,1.4103113316530817e-10,7.236037498068289e-11,4.084673262311297e-12,2.1837470500852286e-11,6.412446350865674e-12
5699.085043586519,2.544480636290248e-10,3.1950771376367965e-10,8.927498748843073e-11,2.3651400376189e-10,8.545180421514295e-11,8.580373892424395e-11,1.45302332409217e-10,1.1632458683481408e-10,5.852842056694191e-11,4.603387737471511e-11,4.849398595148026e-11,4.583233106033972e-11,4.6130612995849904e-11,3.498050224958887e-11,2.8424377211066598e-11,2.732589952724809e-12,9.566085192261137e-12,6.407562933480688e-12
6034.325340268079,5.252125114336848e-10,3.655081079307765e-10,7.069592622661163e-11,1.6580249578119527e-10,9.078765351991412e-11,1.489720336028705e-10,1.449328966434484e-10,1.0025835559473077e-10,1.7628553526333156e-11,6.417175779457301e-11,7.674927254154635e-11,5.3719862868568434e-11,5.735890136523215e-11,8.843471467307482e-11,2.2117127674986032e-11,3.2259420616770876e-12,9.432747679417345e-12,4.616215529941155e-12
