time_fs,se_c60_population,active_surface_c60_diagonal,norm,interval_hops_before_frame,interval_max_raw_probability_sum,interval_renormalized_probability_vectors,se_state_0,se_state_1,se_state_2,se_state_3,se_state_4,se_state_5,se_state_6,se_state_7,se_state_8,se_state_9,sh_state_0,sh_state_1,sh_state_2,sh_state_3,sh_state_4,sh_state_5,sh_state_6,sh_state_7,sh_state_8,sh_state_9
0.0,0.0008490752832741776,0.21391366996382613,0.9999999999999998,0,0.0,0,0.00044659015876276586,0.10869188968888692,0.011570965914685755,0.8750855798865443,0.0012463717081831421,0.0018640736751009317,0.0008784084835988088,9.479160256235154e-05,2.089008180378777e-09,0.00012132679266664891,0.00045,0.10795,0.01115,0.87645,0.00125,0.002,0.0007,0.0,0.0,5e-05
0.5,0.0011115836672662238,0.24375983063196144,1.0000000000000284,1240,1.0000000000000002,0,0.00048341983157593123,0.08641466120936435,0.05149124719863585,0.8592955841086085,0.0005090090179374324,1.4243042653359788e-05,0.0015794203692486252,8.39429436053059e-05,8.361961474462356e-08,0.00012838865878446606,0.0006,0.08545,0.0489,0.86325,0.00055,5e-05,0.00115,0.0,0.0,5e-05
1.0,0.001837109603195187,0.4867812278609755,0.999999999999999,4874,1.0000000000000002,0,0.0005135324995867112,0.06920932434700947,0.27740419365929486,0.6480592079565558,0.0004914918619661361,0.0015452226627135706,0.002564462812575937,7.47847132658458e-05,1.020916204622111e-06,0.00013675857082634676,0.00035,0.0674,0.27545,0.6525,0.00055,0.00155,0.0021,0.0,0.0,0.0001
1.5,0.0028693411813360517,0.5063871161179859,1.0000000000000286,6853,1.0000000000000002,0,0.0005355433964390417,0.0555399877908231,0.5992313138817833,0.3345632719405513,0.001665957707072847,0.004493475706027695,0.0037507340943297436,6.726695701347274e-05,4.345582096010311e-06,0.0001481029438924459,0.00045,0.0548,0.60445,0.33025,0.002,0.0047,0.00325,0.0,0.0,0.0001
2.0,0.0040344910540825426,0.5054178108918165,1.000000000000005,989,1.0000000000000002,0,0.0005455498652775877,0.04381263533275103,0.5777963184014104,0.3609537152732477,0.005519949647114227,0.006196380009344811,0.004945914903671384,5.924117487311748e-05,1.0535868210078746e-05,0.0001597595241045025,0.00065,0.0435,0.58205,0.3571,0.0058,0.00625,0.0046,0.0,0.0,5e-05
2.5,0.005238859901975396,0.5142892766467446,0.999999999999986,3691,1.0000000000000002,0,0.0005438095993120037,0.03514205711495541,0.41770674585277334,0.5226362547327758,0.011315383127929863,0.00637467251834466,0.006046411504815679,5.064381794713754e-05,1.7883605101451047e-05,0.00016613812603081987,0.0005,0.036,0.4181,0.52175,0.0118,0.00635,0.0055,0.0,0.0,0.0
3.0,0.006502779386247338,0.3110421846103922,0.9999999999999984,5597,1.0000000000000002,0,0.0005280736733539776,0.028620353953109447,0.15996907065485336,0.7804036793136647,0.017451567101570697,0.005929133254836322,0.006866701438393876,4.2091837481909506e-05,2.3903073534877665e-05,0.0001654256991993279,0.00065,0.02855,0.1589,0.78,0.01905,0.00635,0.0065,0.0,0.0,0.0
3.5,0.007944346510687962,0.13962961386478515,1.0000000000000153,2448,1.0000000000000002,0,0.0005012248381036415,0.023747286301149566,0.051549157476835444,0.8882849618631495,0.023268956550352465,0.005177498966367385,0.007249860338972462,3.511219351683741e-05,2.6820383285525853e-05,0.00015912108828273878,0.0006,0.0241,0.05095,0.88705,0.02575,0.0048,0.00675,0.0,0.0,0.0
4.0,0.009693715939391284,0.0778029447503759,0.9999999999999947,804,1.0000000000000002,0,0.00046325935507799174,0.02016099642215675,0.021125184295895195,0.9182528494550727,0.028433248250527884,0.004242060138499875,0.007111158542221696,3.071033601400075e-05,2.656452947900841e-05,0.0001539686750494702,0.0004,0.0204,0.02085,0.9171,0.0303,0.0042,0.00675,0.0,0.0,0.0
4.5,0.011815202846179578,0.05134901377292836,0.9999999999999785,380,1.0000000000000002,0,0.0004151016908822113,0.01733440871914475,0.010440754200874907,0.9291630832145453,0.032682225828950626,0.0033058845346639796,0.006448269753340633,2.845957425636499e-05,2.4043405189450453e-05,0.0001577690781300687,0.00035,0.018,0.0093,0.9286,0.03395,0.0035,0.00625,0.0,0.0,5e-05
5.0,0.014258911974308779,0.039679714747226286,0.9999999999999574,221,1.0000000000000002,0,0.00035331103422615124,0.01531600587212374,0.006646726038058313,0.933721883570686,0.03588281122278114,0.002512002400114534,0.0053448784268507465,2.9204453836658755e-05,2.0358659365714945e-05,0.00017281832191441866,0.0003,0.0155,0.006,0.93275,0.03735,0.00275,0.0053,0.0,0.0,5e-05
5.5,0.01687551376771604,0.0342677741152908,0.9999999999999268,132,1.0000000000000002,0,0.0002808960195870886,0.013713438878966129,0.005070685433976827,0.9366796428986395,0.03796466046785233,0.002083166518708422,0.0039673800430618565,3.175305531636996e-05,1.638503449201235e-05,0.00019199164932589112,0.00025,0.01425,0.00535,0.9335,0.04025,0.0022,0.00415,0.0,0.0,5e-05
6.0,0.019469725979940306,0.030957336016150038,0.9999999999998979,107,1.0000000000000002,0,0.00020446423467560904,0.012316293464927965,0.004664815873771095,0.9389371789617889,0.038891494223911145,0.002212920190505763,0.002522561147453976,3.4806340162377106e-05,1.2729147087486811e-05,0.00020273641561371994,0.0001,0.0128,0.00565,0.9352,0.04135,0.00205,0.0027,0.0,0.0,0.00015
6.5,0.02187511595910955,0.0284837710512659,0.9999999999998733,95,1.0000000000000002,0,0.00013758939816497874,0.01076495312994873,0.005139239767664471,0.9405328893351096,0.038861404929196604,0.0030710284297082334,0.0012487323190513025,3.7082564871108115e-05,9.745861602649337e-06,0.00019733426455554313,5e-05,0.01165,0.0057,0.9369,0.0412,0.00305,0.0013,0.0,0.0,0.00015
7.0,0.02400823972445794,0.02702507671663184,0.9999999999998349,132,1.0000000000000002,0,0.00010251100757983686,0.008577213274293088,0.006652633519571402,0.9411068487867448,0.03819505773685853,0.0047784828615955585,0.0003642599539829312,3.792144797610766e-05,7.560463168023601e-06,0.0001775109480646604,5e-05,0.0094,0.0073,0.9372,0.0402,0.00525,0.00045,0.0,0.0,0.00015
7.5,0.025882317870937897,0.025958799167865504,0.9999999999998811,139,1.0000000000000002,0,0.00012487702092475045,0.005622067707360878,0.009136464797327085,0.9402423900328155,0.037283951810701634,0.007376089336301619,1.6330714224833614e-05,3.859369865954255e-05,5.772466513529596e-06,0.00015346241505176793,5e-05,0.0067,0.0095,0.9364,0.0394,0.0078,5e-05,0.0,0.0,0.0001
8.0,0.02757821629994203,0.02534219344897452,0.9999999999998723,149,1.0000000000000002,0,0.0002240753359777313,0.0031123193782167996,0.011277168253344934,0.9372476163307975,0.03682065035015508,0.010878524908986257,0.0002571578900644662,3.888501023213442e-05,4.172072940804192e-06,0.00013943046915663873,0.0001,0.00345,0.01235,0.9341,0.03885,0.01095,0.0001,0.0,0.0,0.0001
8.5,0.029195075605327102,0.025341026184322046,0.9999999999998561,166,1.0000000000000002,0,0.00038371996193465127,0.0018854647765622818,0.012198377329186681,0.9310215833346454,0.0380312776110117,0.01526111491034659,0.0010362305945697278,3.806168391112797e-05,2.7729923372415323e-06,0.00014139680535071576,0.0004,0.0026,0.01285,0.92775,0.04025,0.01515,0.0009,0.0,0.0,0.0001
